run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,COL,1,0p7,NA,4.105319612701791,13.71841631597713,21.680655868123942
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,COL,1,1p5,NA,1.2423119939573621,5.97634711843569,14.761984747470425
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,COL,2,0p7,NA,2.121999257717301,6.907428218483103,10.664575600914599
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,COL,2,1p5,NA,0.7481777330398397,3.3239533267434536,7.316901121220837
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,COL,NA,NA,3,3.194114683036504,7.277316066648029,8.324248629687585
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,COL,NA,NA,5,1.0844790092872474,2.759761004510603,3.4992353889591863
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,COL,1,0p7,NA,4.122267511473164,13.74823301006301,21.890498206455636
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,COL,1,1p5,NA,1.2392475776271774,5.973562572668358,15.037837464435503
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,COL,2,0p7,NA,2.093533982520975,6.917311183447944,10.745456498992286
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,COL,2,1p5,NA,0.7545692941034469,3.29729748711772,7.319701450059049
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,COL,NA,NA,3,3.219620774952016,7.393565624208761,8.657452675901407
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,COL,NA,NA,5,1.0862577945217395,2.826353147748755,3.653700256984694
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,COL,1,0p7,NA,4.921774261487002,16.51709887493337,26.437027950315432
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,COL,1,1p5,NA,1.7659044013959306,8.905692867256008,23.536688524970717
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,COL,2,0p7,NA,2.4334701336563174,7.916255460451415,12.273293630321932
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,COL,2,1p5,NA,1.0171819730278193,4.671134631801558,10.782246492469886
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,COL,NA,NA,3,2.997354502972003,6.686811308323745,7.490109211907496
