run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,COM,2,1p5,NA,3.877177928570813e-4,0.002414211116307687,0.0048431466191982
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,COM,NA,NA,3,0.018723843124759835,0.060274486979975894,0.06710100124493366
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,COM,2,1p5,NA,3.863152261456025e-4,0.0023908825748306848,0.00484406965333425
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,COM,NA,NA,3,0.01866884773892317,0.059483603358896325,0.06604361435906199
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,COM,2,1p5,NA,6.459202537831138e-4,0.00411067081996661,0.00855244498377432
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,COM,NA,NA,3,0.016891216156258767,0.05251988873344931,0.05764427705491596
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,COM,2,1p5,NA,6.456083300152125e-4,0.004133586137680866,0.008593387517432239
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,COM,NA,NA,3,0.01683724330591919,0.051491805020248846,0.056332181937537244
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,COM,2,1p5,NA,6.641790481102401e-4,0.004690586702615888,0.011710836645460986
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,COM,NA,NA,3,0.015303407711929853,0.0342263895334271,0.03747009436793321
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,COM,2,1p5,NA,0.0016213010853288485,0.011464842034760496,0.02709192752498535
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,COM,NA,NA,3,0.00814325070255446,0.025969595737526007,0.028808375120520632
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,COM,2,1p5,NA,0.0017093816725346437,0.01471390140482672,0.04367179259947868
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,COM,NA,NA,3,0.0073867953517007135,0.017730248237897258,0.019064358602838404
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,COM,2,1p5,NA,0.0018072536007792451,0.013306340967746681,0.0335486708267124
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,COM,NA,NA,3,0.005173273920183545,0.016991687139601797,0.01938609518152332
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,COM,2,1p5,NA,0.0018121714691213759,0.01359614172980595,0.03439997427420379
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,COM,NA,NA,3,0.005158103008807389,0.016805446371148978,0.01925216622682264
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,COM,2,1p5,NA,3.113539959470152e-4,0.0019055431378142333,0.00376222143883379
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,COM,NA,NA,3,0.026761104044826813,0.08533923538622276,0.094232849419465
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,COM,2,1p5,NA,3.16135991316574e-4,0.0020784168175219764,0.004593348201857206
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,COM,NA,NA,3,0.024337996084311406,0.05691493981838028,0.06180674358862341
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,COM,2,1p5,NA,3.843918572062596e-4,0.002295826128246415,0.004827480982086614
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,COM,NA,NA,3,0.018675740567563222,0.054920357020656,0.07102519913694713
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,COM,2,1p5,NA,3.835553657132984e-4,0.0022459687831712133,0.004770648681925965
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,COM,NA,NA,3,0.018446999819400307,0.05526511431909283,0.06782802900315801
