run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CYP,2,1p5,NA,0.04169076716470801,0.16828772409392248,0.353466269110727
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,CYP,NA,NA,3,0.07199059596168449,0.15777649001021465,0.18988165960664555
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CYP,2,1p5,NA,0.04202847318538446,0.17502043792199273,0.366863008858044
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,CYP,NA,NA,3,0.07125040964816685,0.15377058525032514,0.18380493365607223
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CYP,2,1p5,NA,0.0524084230849753,0.2195707323899569,0.4563504624757966
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,CYP,NA,NA,3,0.0710750062286458,0.1530893304223049,0.18146118921473745
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CYP,2,1p5,NA,0.053018488891289746,0.2301103982281888,0.474987840132387
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,CYP,NA,NA,3,0.07013818990568113,0.14860063240755778,0.17500990366549618
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CYP,2,1p5,NA,0.0569825911392656,0.28669965357539157,0.6744606524110401
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,CYP,NA,NA,3,0.06241997532143014,0.11626496368601741,0.12547801784011953
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CYP,2,1p5,NA,0.06809729152752889,0.284327414015527,0.5770111751067106
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,CYP,NA,NA,3,0.050259008409039525,0.11012613557472557,0.13290854035595762
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,CYP,2,1p5,NA,0.07645447096853798,0.3642660613114176,0.8815624453600724
