run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CZE,1,0p7,NA,0.2603828488616913,5.876635507005799,10.832413083899127
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CZE,1,1p5,NA,0.09070937751240167,3.4741278127093955,11.563622059079822
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CZE,2,0p7,NA,0.12426175457471865,2.8734748697583403,5.183850374586195
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CZE,2,1p5,NA,0.03890168605911261,1.8064627888270424,5.222989870539128
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CZE,NA,NA,3,0.15100463474828732,2.3949722589379974,3.107649183516848
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,CZE,NA,NA,5,0.035864501030528156,0.9518644492317155,1.4100608002745847
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CZE,1,0p7,NA,0.2994295115138041,5.89118516473851,10.629583502120202
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CZE,1,1p5,NA,0.08965684380115657,3.5823935645038536,12.03541071316186
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CZE,2,0p7,NA,0.12641799899728096,2.887455144821824,5.118796817756317
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CZE,2,1p5,NA,0.03790654334180035,1.8368002802386554,5.374788875817331
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CZE,NA,NA,3,0.15337550019663188,2.360815699464022,3.0718630656869794
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,CZE,NA,NA,5,0.03365917929691147,0.9468356625150397,1.4166808987222983
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CZE,1,0p7,NA,0.25187739745676296,5.679919065372377,10.553896028187946
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CZE,1,1p5,NA,0.08610251124510244,3.2846317414409785,11.037323771561665
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CZE,2,0p7,NA,0.12001565125132024,2.788842963652814,5.025788246299006
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CZE,2,1p5,NA,0.03589572924022784,1.726032489057896,5.005545455382768
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CZE,NA,NA,3,0.14843052369431317,2.321507554230424,2.9818329382745983
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,CZE,NA,NA,5,0.03448271783539543,0.9050441165388237,1.3404838900623772
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CZE,1,0p7,NA,0.29062077084952825,5.694178212140918,10.352129675192359
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CZE,1,1p5,NA,0.08738564234423742,3.381396863361185,11.477130842373608
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CZE,2,0p7,NA,0.1221666216955224,2.7716246572393626,4.960421375969256
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CZE,2,1p5,NA,0.035412629984769024,1.752061741061056,5.147840680822453
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CZE,NA,NA,3,0.151082161480316,2.292863314306664,2.95028016290115
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,CZE,NA,NA,5,0.03388601514087153,0.9036963564720627,1.345809429830972
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CZE,1,0p7,NA,0.6387441495168117,5.7837772772593246,8.771165042204643
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CZE,1,1p5,NA,0.19593829584410136,4.539728550409811,15.844541403395944
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CZE,2,0p7,NA,0.2688101225767823,2.7457079375181177,4.363256561232257
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CZE,2,1p5,NA,0.10724007634566401,2.1352494986924597,6.658831255345337
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CZE,NA,NA,3,0.33532199495557774,1.931856336828203,2.22951235155261
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,CZE,NA,NA,5,0.08975053763546476,0.8149083431814848,1.1351001367236717
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CZE,1,0p7,NA,0.1508880885010656,3.5179583140639545,6.237748331147397
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CZE,1,1p5,NA,0.060856502148842126,2.5840005711645184,7.741047624693796
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CZE,2,0p7,NA,0.07268932289671644,1.8050018708638265,3.2099649988553116
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CZE,2,1p5,NA,0.02786949668273551,1.3588381902975704,3.6677615308944427
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CZE,NA,NA,3,0.07563951163113838,1.3746370849645644,1.905960169460322
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,CZE,NA,NA,5,0.01739414318486485,0.6169811310783023,0.9602802863531408
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,CZE,1,0p7,NA,0.36256616176918915,3.4677391776237942,5.302090128894664
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,CZE,1,1p5,NA,0.148366604317934,3.3867249829059105,10.919527679901384
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,CZE,2,0p7,NA,0.16164631299598942,1.7727371746800418,2.856065237839277
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,CZE,2,1p5,NA,0.07648504988108477,1.6239509881958163,4.77009815533409
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,CZE,NA,NA,3,0.16562918786211997,1.1879316948079965,1.528536242691405
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,CZE,NA,NA,5,0.04933548353153243,0.57151704652032,0.8475730900069881
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,CZE,1,0p7,NA,0.2106845209919715,4.801664208871511,9.01910662697058
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,CZE,1,1p5,NA,0.06491447925487369,2.626736576538768,8.75017689879281
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,CZE,2,0p7,NA,0.10321777873338651,2.432899907828848,4.424682898376108
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,CZE,2,1p5,NA,0.030023215897408133,1.434654003020042,4.101895196474808
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,CZE,NA,NA,3,0.13529403657996397,2.1892250700203073,2.8769494562635685
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,CZE,NA,NA,5,0.033114527295029464,0.8872651312401724,1.3284490294587312
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,CZE,1,0p7,NA,0.22796760996260362,4.801763052806963,8.848504364271289
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,CZE,1,1p5,NA,0.06774927428525825,2.685400404543677,9.085696885995864
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,CZE,2,0p7,NA,0.10436688614762162,2.4219907461561316,4.374227003980166
