run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,DJI,1,0p7,NA,0.016416050125792937,0.12172402801415165,0.20639983667738712
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,DJI,1,1p5,NA,0.0026273701596180657,0.03205225059665438,0.10508273060173502
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,DJI,2,0p7,NA,0.008567637824107742,0.06250383380703349,0.1020363990011326
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,DJI,2,1p5,NA,0.00167448386890294,0.018748939584361513,0.05248768670847219
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,DJI,NA,NA,3,0.027026563589252726,0.10013943006437412,0.10876475538424746
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,DJI,NA,NA,5,0.007854336552262744,0.03740572075298463,0.043035963021851004
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,DJI,1,0p7,NA,0.016310776470988848,0.12283635763345428,0.2090648386163108
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,DJI,1,1p5,NA,0.0026232864869117968,0.031562190584329866,0.10319073181892571
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,DJI,2,0p7,NA,0.008789329907423453,0.0631995657461057,0.10362007518445986
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,DJI,2,1p5,NA,0.0016906191858340725,0.018355229640404522,0.05112734632609897
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,DJI,NA,NA,3,0.02684634154358492,0.10630826691031771,0.11474394747553035
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,DJI,NA,NA,5,0.008138070667788459,0.03894511815505308,0.046773229956376464
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,DJI,1,0p7,NA,0.0184508166659339,0.13713488946333144,0.2343088831204426
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,DJI,1,1p5,NA,0.003226867628638481,0.0406279810271584,0.13850885641252303
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,DJI,2,0p7,NA,0.009394855937233526,0.06836606439192414,0.11182325802802681
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,DJI,2,1p5,NA,0.0020305933408981047,0.023067359699488355,0.0667353614703666
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,DJI,NA,NA,3,0.02664785133514269,0.09380930005795496,0.10240360887313134
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,DJI,NA,NA,5,0.007371982503167894,0.03408565713368093,0.03847252138940635
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,DJI,1,0p7,NA,0.018303642721294096,0.13831864222308027,0.23715141271101917
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,DJI,1,1p5,NA,0.0032350436360578305,0.039862125405646036,0.13613891491857621
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,DJI,2,0p7,NA,0.00930183672576375,0.0691003836944597,0.1135333851778028
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,DJI,2,1p5,NA,0.0020350243753105655,0.022614871455788933,0.06504330033607857
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,DJI,NA,NA,3,0.026483085627354956,0.09922458772701313,0.10728388011044412
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,DJI,NA,NA,5,0.007599999612254159,0.035549851243993846,0.0417925902816456
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,DJI,1,0p7,NA,0.016521271332181117,0.13318770934473115,0.19020838724118638
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,DJI,1,1p5,NA,0.0030037454495724274,0.06069723149326477,0.3080552031862496
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,DJI,2,0p7,NA,0.00850259749868522,0.06499198659684513,0.09294266885636482
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,DJI,2,1p5,NA,0.0019618287416944126,0.030708103443855814,0.12314150362740818
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,DJI,NA,NA,3,0.022765895723101663,0.06256737466038184,0.06922489636288673
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,DJI,NA,NA,5,0.006548734876455116,0.02708411785001541,0.028922661622096748
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,DJI,1,0p7,NA,0.01948752169715644,0.149351262463164,0.23844771153673783
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,DJI,1,1p5,NA,0.0052182298215684665,0.08272319189664487,0.30043122370295056
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,DJI,2,0p7,NA,0.00946228099455974,0.06997440012328156,0.10958827511645737
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,DJI,2,1p5,NA,0.0030915913385409196,0.040237591742953174,0.12475078055366864
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,DJI,NA,NA,3,0.01496027527979025,0.05781541295614875,0.06222287996657885
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,DJI,NA,NA,5,0.004591748264664993,0.022406470410296267,0.026873989387820832
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,DJI,1,0p7,NA,0.017422271643681517,0.14261694032483868,0.17837938311339632
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,DJI,1,1p5,NA,0.004939631740932967,0.1424253729310796,0.5984734038067349
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,DJI,2,0p7,NA,0.008548708734222815,0.0653750095678259,0.08710002393733746
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,DJI,2,1p5,NA,0.002872687090222135,0.05996164779606917,0.22478437890535105
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,DJI,NA,NA,3,0.012922099853325722,0.04084118265128347,0.04341971421841341
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,DJI,NA,NA,5,0.004129327223874661,0.018479627442541287,0.021239454189592805
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,DJI,1,0p7,NA,0.019281995047407356,0.14793418174975875,0.2385993424288396
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,DJI,1,1p5,NA,0.005104837228742096,0.07747035353216539,0.2859224238410706
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,DJI,2,0p7,NA,0.009390166575752857,0.06913720445535233,0.10944898709636966
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,DJI,2,1p5,NA,0.0030057593309798635,0.03851963641172665,0.11981864871329743
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,DJI,NA,NA,3,0.01542646062276592,0.05864738110635224,0.06315051936633218
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,DJI,NA,NA,5,0.004641908476757937,0.02252945855838793,0.026794867571980446
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,DJI,1,0p7,NA,0.01904117111339099,0.1488360721597505,0.24128613356394343
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,DJI,1,1p5,NA,0.005207897912495514,0.07675171336792898,0.28191408520357214
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,DJI,2,0p7,NA,0.009492927830012576,0.06984770021995483,0.11111037064465376
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,DJI,2,1p5,NA,0.003010264288351984,0.03782851879225279,0.11706330202654226
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,DJI,NA,NA,3,0.015321870683539726,0.062238194363594464,0.06666861725008141
