run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ESP,1,0p7,NA,9.292752179021901,27.28585702400581,40.753723557945996
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ESP,1,1p5,NA,5.094447426202519,22.575830435356643,51.3534353809891
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ESP,2,0p7,NA,4.530644203411873,12.986579437648304,19.551568065050155
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ESP,2,1p5,NA,2.7718358570174697,11.081340259372727,23.44117283621006
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ESP,NA,NA,3,3.8013224009325732,8.14311366014769,9.768483759937634
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ESP,NA,NA,5,1.3921386641973876,3.3193198656518867,4.414425269117155
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ESP,1,0p7,NA,9.260779998818958,27.319025131126484,40.672741951269714
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ESP,1,1p5,NA,5.0472606552820585,22.936288287680046,51.68271341361539
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ESP,2,0p7,NA,4.545857704597596,13.010593094698178,19.553229364367084
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ESP,2,1p5,NA,2.7274793799945494,11.086010710506248,23.377055620383935
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ESP,NA,NA,3,3.7945362469217474,8.230342713713547,10.050519374499528
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ESP,NA,NA,5,1.3740838481016904,3.364728640288049,4.566244237527527
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ESP,1,0p7,NA,9.14936441329795,26.985317178813656,39.71342857957672
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ESP,1,1p5,NA,5.3181069257972675,23.97875695374546,53.31163452310521
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ESP,2,0p7,NA,4.412974974443881,12.674309207932033,18.915810334433672
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ESP,2,1p5,NA,2.850139203057335,11.519244721596248,24.105548355738573
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ESP,NA,NA,3,3.492269652805447,7.470117875372164,8.957957524092453
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ESP,NA,NA,5,1.2763442437258186,3.0441176700232337,4.06588310729622
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ESP,1,0p7,NA,9.132317951396567,27.056316412571544,39.61059791402684
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ESP,1,1p5,NA,5.275965228311742,24.42525731146361,53.682034788596674
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ESP,2,0p7,NA,4.431182669601133,12.671264339915293,18.90922246792428
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ESP,2,1p5,NA,2.8053974738338385,11.539823462843497,24.04992293773776
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ESP,NA,NA,3,3.4858727312108964,7.5457163083807846,9.206383524261655
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ESP,NA,NA,5,1.258970500049065,3.0910623010026237,4.20116304447842
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ESP,1,0p7,NA,9.260216040764824,24.791448404176162,32.73198666164653
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ESP,1,1p5,NA,6.109271259166832,33.1729267443624,83.31740273432995
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ESP,2,0p7,NA,4.4026834023819035,11.833948212721905,16.226249706228955
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ESP,2,1p5,NA,3.174696673697858,14.832312514548907,34.52637126031775
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ESP,NA,NA,3,3.1948304487013135,5.8811928540610845,6.555613066477068
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ESP,NA,NA,5,1.2300387311693417,2.6837790633945118,3.4014809682651013
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ESP,1,0p7,NA,5.889123329607461,16.777343896936117,24.34551069015447
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ESP,1,1p5,NA,4.5264765980675294,19.291038333867093,40.60038890430529
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ESP,2,0p7,NA,2.955224299690828,8.330394060093571,12.414031537883671
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ESP,2,1p5,NA,2.392672705768651,9.352286978510069,18.910530700686692
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ESP,NA,NA,3,1.9828907830285167,4.4979918959498715,5.706822887938486
