run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,FIN,2,1p5,NA,-0.42193363074878076,1.786002958326629,6.239002806454277
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,FIN,NA,NA,3,-0.987938092417981,1.3287278238184461,1.7418862545565406
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,FIN,2,1p5,NA,-0.42392284711388034,1.8682712666220787,6.655294242051151
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,FIN,NA,NA,3,-0.9829810672594581,1.29203853143745,1.6715889146793104
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,FIN,2,1p5,NA,-0.40613418149126057,1.707587376426119,5.999386513560289
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,FIN,NA,NA,3,-0.9597167631839402,1.28261021486754,1.6638264463341774
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,FIN,2,1p5,NA,-0.41008206647085244,1.7866992032489553,6.397744881569127
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,FIN,NA,NA,3,-0.9592145821553437,1.2500244647308214,1.5931241310554924
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,FIN,2,1p5,NA,-0.33544239492481326,2.1182440749364724,8.817106830049132
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,FIN,NA,NA,3,-0.8013412543805144,1.0598304743580838,1.2105832601508244
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,FIN,2,1p5,NA,-0.3241806286006922,1.3352159319206247,4.374695822659098
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,FIN,NA,NA,3,-0.545427706459273,0.7970088332973875,1.1486530023778871
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,FIN,2,1p5,NA,-0.2712643822929658,1.5493676702038615,6.284385400065303
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,FIN,NA,NA,3,-0.4824039405437455,0.6845993061207208,0.900800572914053
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,FIN,2,1p5,NA,-0.32411658042738817,1.2821191107353613,4.4614940565740255
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,FIN,NA,NA,3,-0.8482189685041552,1.1754697635920957,1.5896860845696206
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,FIN,2,1p5,NA,-0.320333619388278,1.3287863512553233,4.733009834728974
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,FIN,NA,NA,3,-0.8370197361549151,1.1396441258659975,1.5302767734582279
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,FIN,2,1p5,NA,-0.4664815827692576,1.9061405629332908,7.273626993389308
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,FIN,NA,NA,3,-1.79820939715807,2.240042327602835,2.679503420022284
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,FIN,2,1p5,NA,-0.3787996590820507,2.4689738447972833,10.778273176188158
