run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,FJI,2,1p5,NA,0.001935372506784623,0.009996971411041708,0.019622555559931375
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,FJI,NA,NA,3,0.018523426889408286,0.05891016875554836,0.07322129334315412
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,FJI,2,1p5,NA,0.0019460743326355204,0.010033113571622367,0.0198378447220878
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,FJI,NA,NA,3,0.018454775054744417,0.05796050971567794,0.07181083347639927
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,FJI,2,1p5,NA,0.002853208553072109,0.015181447581359373,0.030590934858904854
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,FJI,NA,NA,3,0.017782770183951323,0.055500708174745735,0.06789315305757074
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,FJI,2,1p5,NA,0.0028637383644049977,0.01525651797149314,0.03110834517447499
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,FJI,NA,NA,3,0.01771001292835727,0.05443007867311003,0.06610260293200569
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,FJI,2,1p5,NA,0.002808745863934009,0.017456159564779385,0.04283745688600963
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,FJI,NA,NA,3,0.015319435859301149,0.042353492511837385,0.04546357602016983
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,FJI,2,1p5,NA,0.0051051264242816235,0.029730084435287914,0.06636407447079973
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,FJI,NA,NA,3,0.01179342068067965,0.03752658716019275,0.046838679188726653
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,FJI,2,1p5,NA,0.005008361318132394,0.038322865634775896,0.09242742938831604
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,FJI,NA,NA,3,0.01015589803587178,0.029351758392953887,0.032878742219941186
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,FJI,2,1p5,NA,0.0031913963848690984,0.018061437399077257,0.03870961986554196
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,FJI,NA,NA,3,0.005530993171167607,0.0188443978616243,0.025026433161524253
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,FJI,2,1p5,NA,0.003202449851410187,0.01832617383435049,0.039340073536662704
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,FJI,NA,NA,3,0.0055153539504856795,0.01871438352581054,0.02492696384533768
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,FJI,2,1p5,NA,0.0013999068180718503,0.007033223807597553,0.013442717776387664
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,FJI,NA,NA,3,0.020355770850115723,0.0646471218580997,0.08021141732551171
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,FJI,2,1p5,NA,0.001394003900052922,0.00764452167688627,0.016264648230801697
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,FJI,NA,NA,3,0.0175551732865305,0.050263285291562806,0.05523798765733084
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,FJI,2,1p5,NA,0.0018034305123932296,0.009095710331451274,0.019066137393110978
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,FJI,NA,NA,3,0.017757793340451772,0.05397480815030714,0.07311796515105459
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,FJI,2,1p5,NA,0.0017460046489854934,0.008751059254453863,0.01882488903201593
bhm_lr,bootstrap,uncertain,SSP1,rcp60,194805,FJI,NA,NA,3,0.016585142941716553,0.05199275683603914,0.07120091695415744
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,FJI,2,1p5,NA,0.0017660911449340624,0.010084683361234205,0.024765640967317537
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,FJI,NA,NA,3,0.01569421189928649,0.04203263209470761,0.05204997898669305
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,FJI,2,1p5,NA,0.0026176984975201396,0.013796839330155618,0.02958241099166697
bhm_lr,bootstrap,uncertain,SSP2,rcp45,299700,FJI,NA,NA,3,0.016711942833867323,0.050926371727142136,0.06815645557076093
bhm_lr,bootstrap,uncertain,SSP2,rcp60,194805,FJI,2,1p5,NA,0.002635020244205105,0.013342591375852798,0.02949878582318448
bhm_lr,bootstrap,uncertain,SSP2,rcp60,194805,FJI,NA,NA,3,0.016479086895912886,0.04846749383676536,0.06589763744545424
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,FJI,2,1p5,NA,0.002719492768239033,0.015855277134793115,0.042188914402951985
bhm_lr,bootstrap,uncertain,SSP2,rcp85,329670,FJI,NA,NA,3,0.015275951084859943,0.03830082365217187,0.04729122096462763
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,FJI,2,1p5,NA,0.004906827789998353,0.02677784268967818,0.06377962381228433
bhm_lr,bootstrap,uncertain,SSP3,rcp45,299700,FJI,NA,NA,3,0.011255683266963521,0.03447477680138807,0.04679554683030134
bhm_lr,bootstrap,uncertain,SSP3,rcp60,194805,FJI,2,1p5,NA,0.004588922780246689,0.02609361920937701,0.06460290866072693
bhm_lr,bootstrap,uncertain,SSP3,rcp60,194805,FJI,NA,NA,3,0.010627180146870172,0.03325862249316104,0.045577009913663695
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,FJI,2,1p5,NA,0.004751564518859729,0.03322115201729887,0.09041167707648333
bhm_lr,bootstrap,uncertain,SSP3,rcp85,329670,FJI,NA,NA,3,0.00998630101778688,0.02704701106441533,0.03353922740570865
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,FJI,2,1p5,NA,0.0029264239984668505,0.01618993309550274,0.037492596459605704
bhm_lr,bootstrap,uncertain,SSP4,rcp45,299700,FJI,NA,NA,3,0.005363924458761306,0.01766008344581522,0.0249141671592959
bhm_lr,bootstrap,uncertain,SSP4,rcp60,194805,FJI,2,1p5,NA,0.0029989435861836446,0.015948933751518415,0.03741188550024044
bhm_lr,bootstrap,uncertain,SSP4,rcp60,194805,FJI,NA,NA,3,0.005124571798581416,0.016942905462167927,0.0244202881987502
bhm_lr,bootstrap,uncertain,SSP4,rcp85,329670,FJI,2,1p5,NA,0.0029558805667482366,0.019910913342410203,0.049340927588854507
bhm_lr,bootstrap,uncertain,SSP4,rcp85,329670,FJI,NA,NA,3,0.004874101678891783,0.014825806250344449,0.01945584846349834
bhm_lr,bootstrap,uncertain,SSP5,rcp45,299700,FJI,2,1p5,NA,0.0013070890299324255,0.006409137638682545,0.013089262437088025
bhm_lr,bootstrap,uncertain,SSP5,rcp45,299700,FJI,NA,NA,3,0.01964965830103972,0.059122190835767995,0.08017511671752288
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,FJI,2,1p5,NA,0.0013129233632650711,0.006189497535150319,0.01277883958220978
bhm_lr,bootstrap,uncertain,SSP5,rcp60,194805,FJI,NA,NA,3,0.018518805329420962,0.0568624111917946,0.07806668958086749
bhm_lr,bootstrap,uncertain,SSP5,rcp85,329670,FJI,2,1p5,NA,0.0012907012606417326,0.006920565442445565,0.015883001936173567
bhm_lr,bootstrap,uncertain,SSP5,rcp85,329670,FJI,NA,NA,3,0.017303807006849026,0.04594466161217148,0.05689189709849957
bhm_lr,estimates,expected,SSP1,rcp45,1,FJI,2,1p5,NA,NA,0.009434892147430027,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,FJI,NA,NA,3,NA,0.05730025451650497,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,FJI,2,1p5,NA,NA,0.009458706447228096,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,FJI,NA,NA,3,NA,0.05640706331335964,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,FJI,2,1p5,NA,NA,0.014293115916009213,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,FJI,NA,NA,3,NA,0.054032354392264184,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,FJI,2,1p5,NA,NA,0.014365407121529162,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,FJI,NA,NA,3,NA,0.053027116946461395,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,FJI,2,1p5,NA,NA,0.016275085720914257,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,FJI,NA,NA,3,NA,0.041823688614679826,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,FJI,2,1p5,NA,NA,0.027827617633219674,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,FJI,NA,NA,3,NA,0.036497235007174465,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,FJI,2,1p5,NA,NA,0.035113115383886326,NA
