run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GHA,2,1p5,NA,0.05031050033194893,0.3857458448630663,0.9154020721559883
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,GHA,NA,NA,3,1.1342895832060844,3.6214629432672285,3.932127145549348
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GHA,2,1p5,NA,0.05116859822027399,0.38450940245506676,0.9180786143915344
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,GHA,NA,NA,3,1.1394595559748946,3.6635591085415085,3.9568463616316
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GHA,2,1p5,NA,0.0766581262442051,0.605018975484606,1.5030529109320203
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,GHA,NA,NA,3,1.0050354787446178,3.0573322589885126,3.33543884622825
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GHA,2,1p5,NA,0.07687509389488295,0.6035735514349616,1.5174289654989563
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,GHA,NA,NA,3,1.0074769665466385,3.0775408786164906,3.339045159795235
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GHA,2,1p5,NA,0.06633508695495458,0.7646075284386674,2.7986406413778084
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,GHA,NA,NA,3,0.8044202595248287,1.9223049561242016,2.152815025891078
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GHA,2,1p5,NA,0.165474159446241,1.5274193203507485,4.265536246006751
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,GHA,NA,NA,3,0.49463914303811074,1.5913379028080905,1.7192243603213144
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GHA,2,1p5,NA,0.13820663770271682,2.1959023500528065,7.2505282905239365
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,GHA,NA,NA,3,0.3948135353932493,1.0568944809547984,1.139437558868572
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,GHA,2,1p5,NA,0.19186289822593816,1.8966241098227614,4.869696306979259
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,GHA,NA,NA,3,0.3536695518402269,1.1911592199388759,1.2868821544919922
