run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GIN,1,0p7,NA,0.21907233357248795,1.0367652563190322,1.6526316793548221
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GIN,1,1p5,NA,0.019003967801448283,0.13547128567725056,0.3262798037796028
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GIN,2,0p7,NA,0.11814572539387067,0.5508991112893605,0.8626549527409392
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GIN,2,1p5,NA,0.01251010272616306,0.084147426382863,0.18857123494945857
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GIN,NA,NA,3,0.6772682649901893,1.8397086215611214,1.9869803166754494
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,GIN,NA,NA,5,0.19762238108511357,0.6304848496820755,0.7300618891608043
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GIN,1,0p7,NA,0.220061206239611,1.042228347688272,1.6645178139951462
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GIN,1,1p5,NA,0.018867948120102982,0.1345008621473757,0.3264653172477734
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GIN,2,0p7,NA,0.11776968232807722,0.5522626168843293,0.8692910691611181
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GIN,2,1p5,NA,0.012405468455362353,0.08339214169134271,0.18667529773542715
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GIN,NA,NA,3,0.6786672914919873,1.8940827661527364,2.0317495102052447
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,GIN,NA,NA,5,0.197893132259042,0.6473883585343263,0.7726207684890585
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GIN,1,0p7,NA,0.24716516433936875,1.1773233546162465,1.889982996295341
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GIN,1,1p5,NA,0.027478787944927564,0.20125525625280113,0.4993281168930131
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GIN,2,0p7,NA,0.12927584833014139,0.6000608600551786,0.9413055564680919
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GIN,2,1p5,NA,0.017618542944143605,0.12081864831299446,0.277681012842799
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GIN,NA,NA,3,0.5752757976520758,1.4497346657136505,1.5861865529621222
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,GIN,NA,NA,5,0.15398916838873652,0.4752062173595638,0.5300138083969229
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GIN,1,0p7,NA,0.24951462707916486,1.1834657249261744,1.9039918905190694
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GIN,1,1p5,NA,0.027287779416977073,0.19974031823866797,0.5011578027657724
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GIN,2,0p7,NA,0.12891737713553017,0.602769626242598,0.9484161813810622
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GIN,2,1p5,NA,0.017473008003287473,0.11984649715273205,0.27532820776487427
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GIN,NA,NA,3,0.5754760318019764,1.4862592613141297,1.6106043944990673
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,GIN,NA,NA,5,0.15552174994618528,0.4862071549612717,0.5588037009432937
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GIN,1,0p7,NA,0.22003941904234367,1.1198032472017774,1.8117481125154253
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GIN,1,1p5,NA,0.026784939058577355,0.2668595846471954,1.2638820504443427
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GIN,2,0p7,NA,0.11595498203404528,0.5630681323144304,0.8623230194835276
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GIN,2,1p5,NA,0.01763643391984813,0.14934934255911442,0.5356999570368683
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GIN,NA,NA,3,0.46874221810360134,0.9194226424846816,1.0268418992848696
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,GIN,NA,NA,5,0.1334296303617684,0.36049090194144223,0.37829262032918276
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GIN,1,0p7,NA,0.28599599584180374,1.4191697616960781,2.351926498960915
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GIN,1,1p5,NA,0.07329632970094478,0.6538882424828721,2.1870447279435195
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GIN,2,0p7,NA,0.13964205507378533,0.6598078166706742,1.0470159889213082
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GIN,2,1p5,NA,0.04113987641392081,0.32410170801682214,0.9134277617316101
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GIN,NA,NA,3,0.22441137481159126,0.6218249929873533,0.6674846046973296
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,GIN,NA,NA,5,0.06830228329758878,0.22376334931430444,0.2683969928416388
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GIN,1,0p7,NA,0.25399258220093235,1.3996710637626415,1.7814002511334133
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GIN,1,1p5,NA,0.07203840415628134,1.1831083727836775,4.179168740144271
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GIN,2,0p7,NA,0.12384806752122776,0.6273643927256527,0.8377727702783397
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GIN,2,1p5,NA,0.041325684162707876,0.4946097346585499,1.5837195150236623
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GIN,NA,NA,3,0.1895867655561131,0.4205097498913609,0.44914182458467455
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,GIN,NA,NA,5,0.06163500529098928,0.18073646658838943,0.20469699353566034
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GIN,1,0p7,NA,0.23548130295199607,1.1798853289451396,1.858128150506717
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GIN,1,1p5,NA,0.07349708618920282,0.6909343659496074,2.1277315533438057
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GIN,2,0p7,NA,0.11416043571650096,0.5416535995851338,0.8361641651893307
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GIN,2,1p5,NA,0.04026424679833744,0.3272876956665316,0.8827180975388608
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GIN,NA,NA,3,0.15154480494648628,0.4366305226298802,0.4693315510153263
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,GIN,NA,NA,5,0.04853776833317031,0.1635195230126489,0.20129385647415557
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GIN,1,0p7,NA,0.23732786924526775,1.184580510528107,1.8491779378682531
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GIN,1,1p5,NA,0.07328164896344103,0.7034899201685659,2.1552302443907982
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GIN,2,0p7,NA,0.11389890823106046,0.5448959335920129,0.83718581846474
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GIN,2,1p5,NA,0.04004552762485018,0.3291612508288675,0.8848929928058722
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GIN,NA,NA,3,0.1539164355934154,0.4477549072503696,0.4852362259059567
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,GIN,NA,NA,5,0.04836713048635756,0.1678389109521171,0.21115260090307209
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GIN,1,0p7,NA,0.1787058005593929,0.840200821647026,1.331914705829251
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GIN,1,1p5,NA,0.013059500410869035,0.08957573634354303,0.20375384201995733
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GIN,2,0p7,NA,0.09856097576558188,0.46100669496532487,0.7216669779603598
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GIN,2,1p5,NA,0.008983622440177445,0.05864334078941023,0.12586181473656918
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GIN,NA,NA,3,0.7441209828500861,2.0208793975826347,2.1820643071659216
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,GIN,NA,NA,5,0.21529572156706464,0.6882597831906606,0.7996445215051853
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GIN,1,0p7,NA,0.15837947840503053,0.7931302275190522,1.2441052649134323
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GIN,1,1p5,NA,0.013086196412723579,0.10991468306276794,0.3829691611974082
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GIN,2,0p7,NA,0.08951079249971702,0.4308490161754727,0.6567263452961452
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GIN,2,1p5,NA,0.009099323653913532,0.06825940799052452,0.1959637546934922
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GIN,NA,NA,3,0.6185493933448593,1.3282833347458285,1.4426048093754298
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,GIN,NA,NA,5,0.19009476503090722,0.5436641244307798,0.5848178766584805
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GIN,1,0p7,NA,0.19837781694622275,0.9895220288076113,1.6559314389359838
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GIN,1,1p5,NA,0.018501589495966714,0.12549510466204053,0.32240009693817495
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GIN,2,0p7,NA,0.11140620786100724,0.5284836800813683,0.8658370732821776
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GIN,2,1p5,NA,0.012565568843329197,0.07910780264957559,0.18645741082158196
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GIN,NA,NA,3,0.6468772352280306,1.7228810556663714,2.1495492287411193
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,GIN,NA,NA,5,0.18499142735320329,0.5919572027216936,0.7608174035927489
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GIN,1,0p7,NA,0.19847612674402687,0.9508693341328585,1.589744783078982
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GIN,1,1p5,NA,0.017347785253187798,0.11981495393907511,0.3023251030216945
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GIN,2,0p7,NA,0.10817750470811012,0.5086829674870946,0.8284840568908467
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GIN,2,1p5,NA,0.011603817550931738,0.07411533885328375,0.17381577894003827
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GIN,NA,NA,3,0.6278790686090592,1.7309666535289876,2.0408171711418843
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,GIN,NA,NA,5,0.17929553210329274,0.5883767350512737,0.7503477815428162
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GIN,1,0p7,NA,0.1984185574915526,0.946464404329945,1.5165508661558869
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GIN,1,1p5,NA,0.01803851727327528,0.16273792286578528,0.7165821415016431
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GIN,2,0p7,NA,0.10414385994905286,0.49576465330559016,0.7764317292570033
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GIN,2,1p5,NA,0.011765056356633519,0.09418898394559447,0.3214459998100903
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GIN,NA,NA,3,0.5634898260267096,1.1428054330943418,1.4548879333248428
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,GIN,NA,NA,5,0.16638762664871737,0.46147151881524684,0.5748563450415595
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GIN,1,0p7,NA,0.23032167222081024,1.1296500874954358,1.9053780474866033
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GIN,1,1p5,NA,0.026046893470959464,0.1837309779787793,0.49665445267539
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GIN,2,0p7,NA,0.11975021147395082,0.5760553559140439,0.9423274956532418
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GIN,2,1p5,NA,0.01791251917838052,0.11388995170103235,0.2765337137780929
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GIN,NA,NA,3,0.5569412205686226,1.3796173583853732,1.7231212315938649
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,GIN,NA,NA,5,0.14941476745538498,0.44470655332461384,0.5612216138409467
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GIN,1,0p7,NA,0.21978123019474693,1.0829392654663736,1.8213855973650006
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GIN,1,1p5,NA,0.025935023369892174,0.17812681165087368,0.46237772213406014
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GIN,2,0p7,NA,0.11882740179668612,0.5512298397062869,0.9015460223106609
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GIN,2,1p5,NA,0.015991872473694286,0.10697056227553928,0.2562720836726655
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GIN,NA,NA,3,0.5064701599240362,1.374777244441008,1.6201530892061775
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,GIN,NA,NA,5,0.14001997419882017,0.44379996598356036,0.5470751698177925
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GIN,1,0p7,NA,0.21539985970200884,1.0809230842459066,1.7030887620294148
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GIN,1,1p5,NA,0.026148028068219958,0.24398143555717483,1.1918577742000411
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GIN,2,0p7,NA,0.10637391906475666,0.5444952281902495,0.8331647291571742
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GIN,2,1p5,NA,0.01695378797464818,0.13907464112603796,0.5080818292529382
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GIN,NA,NA,3,0.44845212006811586,0.8787606976297324,1.1276665772825383
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,GIN,NA,NA,5,0.12695522815822655,0.33095590402390496,0.413569837593917
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GIN,1,0p7,NA,0.27321883821635534,1.3558341661323983,2.2689967965840894
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GIN,1,1p5,NA,0.06715542921448696,0.5877997744917633,2.096647888774732
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GIN,2,0p7,NA,0.13916237718901583,0.6355078675807763,1.025815460807804
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GIN,2,1p5,NA,0.039085085032191304,0.2960257764697469,0.8909733112513181
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GIN,NA,NA,3,0.21024672953824416,0.5807152133169552,0.7210398741026299
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,GIN,NA,NA,5,0.06190265565154446,0.21245484638636117,0.2762526913723556
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GIN,1,0p7,NA,0.2574984125577898,1.3002584815180702,2.186785876702301
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GIN,1,1p5,NA,0.06450082800018284,0.5701904227902667,1.9911691577613313
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GIN,2,0p7,NA,0.12596458040437902,0.6064762316676398,0.9896199111828675
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GIN,2,1p5,NA,0.03833031533901592,0.2859639358004068,0.8360850306291882
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GIN,NA,NA,3,0.21553450130713123,0.5848379402035851,0.6888945362151854
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,GIN,NA,NA,5,0.06288755442498242,0.2104972463894783,0.27377991074489655
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GIN,1,0p7,NA,0.24459709952256975,1.3121904830877735,1.772356288618047
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GIN,1,1p5,NA,0.06712887930813032,1.0094910526106207,4.065099705823897
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GIN,2,0p7,NA,0.12077341807905796,0.5958909225311113,0.8324856843683653
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GIN,2,1p5,NA,0.03837541427791497,0.4439222891535983,1.558564596217368
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GIN,NA,NA,3,0.18461495665341698,0.3938617522415426,0.49800840709536204
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,GIN,NA,NA,5,0.06251061912980256,0.17119526514458616,0.21385238199713735
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,GIN,1,0p7,NA,0.22911846087890458,1.1251446516496058,1.828822278316388
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,GIN,1,1p5,NA,0.06794054527655052,0.613925745035123,2.0893181098623916
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,GIN,2,0p7,NA,0.11221818296962995,0.5190303346038251,0.8320947861848902
