run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,HND,2,1p5,NA,0.027143423219973175,0.17596570006120638,0.39541132873998325
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,HND,NA,NA,3,0.3587724161485402,1.0114640444847856,1.086116148756492
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,HND,2,1p5,NA,0.027429248719490238,0.17297495458886472,0.38370548968287627
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,HND,NA,NA,3,0.3625094342232554,1.063921230068509,1.1472604230300238
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,HND,2,1p5,NA,0.0398179830983314,0.2687393752712054,0.6350405994343759
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,HND,NA,NA,3,0.32801458661289457,0.8806157586558485,0.9499997608513038
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,HND,2,1p5,NA,0.040282566156163845,0.26402886252189467,0.6158150311849334
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,HND,NA,NA,3,0.33044122537726284,0.927962809924788,0.9963027955989432
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,HND,2,1p5,NA,0.03975804804271021,0.3519597120440789,1.120192446200585
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,HND,NA,NA,3,0.29965585316117915,0.5662137690397556,0.6132910068756182
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,HND,2,1p5,NA,0.0884580007637404,0.7178767072206798,1.7875759539858318
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,HND,NA,NA,3,0.1999263585586363,0.5711302293475233,0.6132157320988162
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,HND,2,1p5,NA,0.09146497362453244,1.0095074877874843,3.068635644163294
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,HND,NA,NA,3,0.18394461847741592,0.3843189780632344,0.4066239424532365
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,HND,2,1p5,NA,0.09495839832686961,0.8012789282992717,1.8838753873111604
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,HND,NA,NA,3,0.14665716964066963,0.43467415366587947,0.4720979614171981
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,HND,2,1p5,NA,0.09563263547774188,0.7903344728392672,1.8428537698893905
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,HND,NA,NA,3,0.14896748707606536,0.4502790545694769,0.5035488232195552
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,HND,2,1p5,NA,0.021534445396832153,0.13523038351595282,0.2907684544081019
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,HND,NA,NA,3,0.4860677495073654,1.3271913360940637,1.4312904006059568
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,HND,2,1p5,NA,0.021189412126449727,0.16171851732350948,0.4852893819313905
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,HND,NA,NA,3,0.44565908700639306,0.8555488555539525,0.9282806768941991
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,HND,2,1p5,NA,0.025608322872230232,0.16281959930662138,0.3923198460812003
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,HND,NA,NA,3,0.35808376815697857,0.9105644614665264,1.1971420675685793
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,HND,2,1p5,NA,0.024567039612658353,0.14723123741979943,0.34320830863605467
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,HND,NA,NA,3,0.33100514916698626,0.8962710847203669,1.146976080353235
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,HND,2,1p5,NA,0.02774505813752723,0.20224469908388093,0.6946696775643068
