run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HTI,1,0p7,NA,0.08953899372327365,0.43650702273188546,0.6979120221842281
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HTI,1,1p5,NA,0.009302456574722067,0.06124478387518982,0.1334564053038627
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HTI,2,0p7,NA,0.04844465705154614,0.23420835309155624,0.3700969264263154
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HTI,2,1p5,NA,0.006331987495795608,0.04008696120481911,0.08284081369407637
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HTI,NA,NA,3,0.26730428182655674,0.8067155103580705,0.8808522509821959
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,HTI,NA,NA,5,0.07316444947782035,0.2519315822770659,0.3045576521895916
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HTI,1,0p7,NA,0.08963992712299357,0.43893527169924024,0.7045375939125514
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HTI,1,1p5,NA,0.00927788421699853,0.0603621939878546,0.13067558195854412
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HTI,2,0p7,NA,0.04850794584740171,0.23569504535572228,0.37400721754518834
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HTI,2,1p5,NA,0.006306344746351372,0.03941322613146961,0.08077096992069789
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HTI,NA,NA,3,0.2671434222894024,0.8335260808660006,0.9157791446894782
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,HTI,NA,NA,5,0.07353886716459994,0.2593230541965408,0.3216135934689563
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HTI,1,0p7,NA,0.09333488686414013,0.45818510732580753,0.734652162347815
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HTI,1,1p5,NA,0.01259094000192698,0.0850349265288973,0.1898051783728561
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HTI,2,0p7,NA,0.04907663097328494,0.23748028314275788,0.3754116447264862
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HTI,2,1p5,NA,0.008340810205292747,0.053519264323261366,0.11324774030313657
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HTI,NA,NA,3,0.2019397604584567,0.5938441581845896,0.6439573581457516
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,HTI,NA,NA,5,0.05305958297072189,0.17999933967649118,0.21525395151396517
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HTI,1,0p7,NA,0.09343595581122913,0.4596156587689544,0.7412320603346882
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HTI,1,1p5,NA,0.012556535861440173,0.08416005443752801,0.1859115288252591
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HTI,2,0p7,NA,0.04913931632907806,0.23875233049681377,0.37931130259960516
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HTI,2,1p5,NA,0.008317768752595656,0.05314672813405651,0.11046093948192887
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HTI,NA,NA,3,0.20200382431935443,0.6146337900407314,0.6676731670657928
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,HTI,NA,NA,5,0.05334136511332053,0.18550537640671108,0.22711131168553036
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HTI,1,0p7,NA,0.09101188063595995,0.43791212245301275,0.7028399139579579
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HTI,1,1p5,NA,0.013115749126026633,0.10272494254139602,0.3179075827921143
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HTI,2,0p7,NA,0.04836562053302226,0.22523033087245709,0.34780617404751846
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HTI,2,1p5,NA,0.008581019721770878,0.06213468308381577,0.1622163005591109
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HTI,NA,NA,3,0.18381640160386362,0.3902715235759476,0.4246731534697527
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,HTI,NA,NA,5,0.05022884044528746,0.14209208410286947,0.15369214892451863
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HTI,1,0p7,NA,0.11429533657166395,0.5745878658126736,0.949189982227341
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HTI,1,1p5,NA,0.028249412055116056,0.2182544346968703,0.5909313664192134
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HTI,2,0p7,NA,0.05612239003504975,0.2744168602151355,0.4392212234593081
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HTI,2,1p5,NA,0.016590333701646597,0.11771288956847502,0.28170577500516747
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HTI,NA,NA,3,0.09957519899743753,0.3073927060577771,0.33674296662912784
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,HTI,NA,NA,5,0.028918743929546818,0.10263003784432113,0.12825035466544416
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HTI,1,0p7,NA,0.11047659404898941,0.5605925768473171,0.8372527998367545
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HTI,1,1p5,NA,0.029645041670708482,0.3121663824324976,1.1215283813394945
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HTI,2,0p7,NA,0.05550551157493284,0.26240229000464566,0.38724526173098517
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HTI,2,1p5,NA,0.01708521521652626,0.1520896971311012,0.45741676090951927
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HTI,NA,NA,3,0.09052226022894796,0.21321432973942367,0.22725727079030497
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,HTI,NA,NA,5,0.02758001934916959,0.08405147727734287,0.09818689142344307
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HTI,1,0p7,NA,0.09431417880766903,0.47893832659780594,0.8002229371616169
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HTI,1,1p5,NA,0.029586773215178892,0.2419084823751739,0.7145014191608335
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HTI,2,0p7,NA,0.04603293716699781,0.22627044531407542,0.3646028002198463
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HTI,2,1p5,NA,0.01699325046121729,0.12422066413253972,0.314178778068811
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HTI,NA,NA,3,0.06291842667863903,0.2011370391404099,0.2276811899203491
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,HTI,NA,NA,5,0.019827788202238107,0.07300227538265827,0.09389417257206632
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HTI,1,0p7,NA,0.09437664809155852,0.4802051127763686,0.8056086400254059
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HTI,1,1p5,NA,0.029750416342281056,0.2418403197698989,0.7114022535864039
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HTI,2,0p7,NA,0.04608907782824855,0.2274044244215994,0.36827574782558514
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HTI,2,1p5,NA,0.016949820734502512,0.12268531704792299,0.3101921939792111
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HTI,NA,NA,3,0.06304690716641247,0.20624146995809656,0.24029553441427604
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,HTI,NA,NA,5,0.01993341165100198,0.07501166478670312,0.09874431099235546
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HTI,1,0p7,NA,0.08039613782172772,0.39058326503687535,0.6213900015957157
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HTI,1,1p5,NA,0.006854365891932464,0.04415617843722875,0.09223631200836017
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HTI,2,0p7,NA,0.044359489644316984,0.21442442386292473,0.3384784410535616
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HTI,2,1p5,NA,0.004836541877717546,0.029845007401858463,0.06031692394614748
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HTI,NA,NA,3,0.33920609168890453,1.0119984262663255,1.1012665247872662
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,HTI,NA,NA,5,0.09020096018399652,0.3074458924205788,0.36789073014347246
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,HTI,1,0p7,NA,0.07909458991361672,0.37148284644924345,0.5808951039300915
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,HTI,1,1p5,NA,0.007051079816214117,0.050565590650415805,0.12952985280603804
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,HTI,2,0p7,NA,0.04387262117701922,0.2033257981629672,0.31168954187854897
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,HTI,2,1p5,NA,0.004923622708229261,0.03324616536160024,0.07661957483927131
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,HTI,NA,NA,3,0.30793359483721616,0.668728689210377,0.7289045224932412
