run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,IDN,2,1p5,NA,0.8469329886881418,5.561192521846313,12.012163384070744
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,IDN,NA,NA,3,10.422516468934344,34.72224561335482,40.76032240635415
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,IDN,2,1p5,NA,0.8432559804265647,5.476139902700754,11.850466360424372
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,IDN,NA,NA,3,10.419774423777412,35.34888296632896,42.49097101545426
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,IDN,2,1p5,NA,1.1275331892261768,7.610789305643479,17.137014429945175
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,IDN,NA,NA,3,7.838219368154428,25.78671063790314,30.018547157419743
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,IDN,2,1p5,NA,1.1252377169588064,7.553553885536135,16.966557844854115
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,IDN,NA,NA,3,7.828239513227707,26.2336316095249,31.24304757453808
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,IDN,2,1p5,NA,1.153574611083098,9.238382361412667,26.800030271786422
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,IDN,NA,NA,3,7.164241433639086,19.833195639941053,21.008130243640753
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,IDN,2,1p5,NA,1.8508960133936163,14.071269439537481,33.215665320715566
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,IDN,NA,NA,3,4.3005241627646384,14.871140416181145,18.28082815688194
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,IDN,2,1p5,NA,1.9300332849722357,18.177330182573805,49.26932450704476
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,IDN,NA,NA,3,4.063850335785641,11.976318956157531,13.732547914787922
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,IDN,2,1p5,NA,0.9193765829096033,6.060302744189529,13.201571601938904
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,IDN,NA,NA,3,6.407676939920634,21.69500705329072,26.0379724018264
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,IDN,2,1p5,NA,0.9173803067165681,5.998607457492668,13.020974404035808
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,IDN,NA,NA,3,6.399493190241551,22.085673243428396,27.05197341048557
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,IDN,2,1p5,NA,0.728750333892937,4.68651404825002,9.828737479061171
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,IDN,NA,NA,3,15.164751510733295,49.3121697915021,56.33741227585733
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,IDN,2,1p5,NA,0.7517053555753783,5.351718991266584,14.167115646914565
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,IDN,NA,NA,3,13.811838779233955,36.93151498025324,38.97597775165443
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,IDN,2,1p5,NA,0.8794430674121723,5.287727608352356,11.924395122023668
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,IDN,NA,NA,3,9.877379505668063,32.15032811924129,42.291042071354084
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,IDN,2,1p5,NA,0.8356590583529785,5.0508098379711335,11.221960989424296
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,IDN,NA,NA,3,9.605481720935067,32.590315834613335,41.48213578606491
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,IDN,2,1p5,NA,0.8009089403376559,6.120564796078955,18.122371979377235
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,IDN,NA,NA,3,9.245492592290233,24.95976169518474,30.610163395230483
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,IDN,2,1p5,NA,1.157666631002366,7.241315190720102,17.08000147408642
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,IDN,NA,NA,3,8.112498727673445,23.888237759404078,31.358181745436383
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,IDN,2,1p5,NA,1.0585688797317747,6.905629864863299,16.004760081978752
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,IDN,NA,NA,3,7.138897252984823,24.146910674992725,30.507938388933773
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,IDN,2,1p5,NA,1.1011505411105498,8.670421252702123,26.370050485989236
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,IDN,NA,NA,3,6.893368849412703,18.34533128503288,22.465775002333704
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,IDN,2,1p5,NA,1.8641194562702068,13.188287727224301,32.848610040547435
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,IDN,NA,NA,3,4.370299258428082,14.0671141891506,18.690115706700908
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,IDN,2,1p5,NA,1.8871207407027153,12.595010771625201,30.99218954970131
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,IDN,NA,NA,3,4.20282051712428,14.112369888068416,18.513965696905032
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,IDN,2,1p5,NA,1.8773222533852447,16.907819085883418,47.693812337122026
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,IDN,NA,NA,3,4.055863619176527,11.312556241324256,14.09886791020175
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,IDN,2,1p5,NA,0.9129934022172567,5.760872904190262,13.207090289599593
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,IDN,NA,NA,3,6.209624815461842,20.283666388843226,26.787028240967036
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,IDN,2,1p5,NA,0.9055378996094713,5.4625092893874685,12.2493367412882
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,IDN,NA,NA,3,6.070229364320912,20.451467387684442,26.40998261616381
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,IDN,2,1p5,NA,0.8994331868759177,6.719016231145858,19.47944515316906
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,IDN,NA,NA,3,5.94799503986078,16.05626993929697,19.698335548880372
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,IDN,2,1p5,NA,0.7412013773983032,4.495525618347816,9.82690340113359
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,IDN,NA,NA,3,14.861422337295183,45.50583096550677,59.54466419237154
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,IDN,2,1p5,NA,0.7120973097121961,4.23047575945894,9.178965730521867
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,IDN,NA,NA,3,14.597100493493544,46.2801628629415,57.55397419661594
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,IDN,2,1p5,NA,0.7534820699186202,5.074730869884396,14.050664287019458
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,IDN,NA,NA,3,12.893205438207852,34.07812839864806,41.98469132858868
bhm_lr,estimates,expected,SSP1,rcp45,1,IDN,2,1p5,NA,NA,5.229081784704366,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,IDN,NA,NA,3,NA,33.98970019350389,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,IDN,2,1p5,NA,NA,5.177502539053158,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,IDN,NA,NA,3,NA,34.564984693892086,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,IDN,2,1p5,NA,NA,7.152451937190086,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,IDN,NA,NA,3,NA,25.258791647892643,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,IDN,2,1p5,NA,NA,7.087286008664096,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,IDN,NA,NA,3,NA,25.65776316504646,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,IDN,2,1p5,NA,NA,8.584068524435223,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,IDN,NA,NA,3,NA,19.673565144557887,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,IDN,2,1p5,NA,NA,13.107233559122005,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,IDN,NA,NA,3,NA,14.529769912714496,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,IDN,2,1p5,NA,NA,16.891462008338188,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,IDN,NA,NA,3,NA,11.799730335395628,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,IDN,2,1p5,NA,NA,5.6962424555785995,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,IDN,NA,NA,3,NA,21.212496321549278,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,IDN,2,1p5,NA,NA,5.637413070078353,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,IDN,NA,NA,3,NA,21.586547154548107,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,IDN,2,1p5,NA,NA,4.412873303553711,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,IDN,NA,NA,3,NA,48.362131347923736,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,IDN,2,1p5,NA,NA,5.004353360873613,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,IDN,NA,NA,3,NA,37.2360544496673,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,IDN,2,1p5,NA,4.111764709506811,5.102086683722155,6.506118634858544
bhm_lr,estimates,uncertain,SSP1,rcp45,315,IDN,NA,NA,3,28.92477945070959,33.76725774717576,39.058709577403576
bhm_lr,estimates,uncertain,SSP1,rcp60,210,IDN,2,1p5,NA,3.9757613358119244,4.713056436289246,6.173374983830288
bhm_lr,estimates,uncertain,SSP1,rcp60,210,IDN,NA,NA,3,29.445765989949333,32.729357234698384,36.801432811842076
bhm_lr,estimates,uncertain,SSP2,rcp45,315,IDN,2,1p5,NA,5.549832920328489,6.993928322427761,8.947775327516675
bhm_lr,estimates,uncertain,SSP2,rcp45,315,IDN,NA,NA,3,21.440964836072556,25.103142359497326,29.068120906755844
bhm_lr,estimates,uncertain,SSP2,rcp60,210,IDN,2,1p5,NA,5.387725290694281,6.418819127711059,8.64444564938217
bhm_lr,estimates,uncertain,SSP2,rcp60,210,IDN,NA,NA,3,21.908608020439317,24.301192129477116,27.32879490190446
bhm_lr,estimates,uncertain,SSP2,rcp85,345,IDN,2,1p5,NA,6.296427820792017,8.54142457041032,11.136199993380485
bhm_lr,estimates,uncertain,SSP2,rcp85,345,IDN,NA,NA,3,17.196768622644196,19.336388325769384,22.592544226100692
bhm_lr,estimates,uncertain,SSP3,rcp45,315,IDN,2,1p5,NA,9.755968423146758,12.828907261142612,16.928213626938646
bhm_lr,estimates,uncertain,SSP3,rcp45,315,IDN,NA,NA,3,12.392122445562993,14.360579282858373,16.53961304030229
bhm_lr,estimates,uncertain,SSP3,rcp85,345,IDN,2,1p5,NA,12.305161254758454,16.86546775799509,21.68526232071925
bhm_lr,estimates,uncertain,SSP3,rcp85,345,IDN,NA,NA,3,10.295397281933393,11.63233968945354,13.372337719058057
bhm_lr,estimates,uncertain,SSP4,rcp45,315,IDN,2,1p5,NA,4.472711785760591,5.556552110143202,7.1058451673048815
bhm_lr,estimates,uncertain,SSP4,rcp45,315,IDN,NA,NA,3,18.090421395003094,21.05810085313321,24.215753704349083
