run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRQ,1,0p7,NA,3.024487676593099,12.064300435697922,18.642575931176918
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRQ,1,1p5,NA,0.9012289941215581,6.411328374304391,20.12200731069341
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRQ,2,0p7,NA,1.5263013720075134,5.784421910458695,8.70474232276197
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRQ,2,1p5,NA,0.5400509500848085,3.315249267693238,8.86611782022232
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRQ,NA,NA,3,2.30777326738716,4.696718695140463,5.047313734673307
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,IRQ,NA,NA,5,0.7120095271186375,1.824178574583707,2.0880198159593397
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRQ,1,0p7,NA,3.0079059757408473,12.100525233936281,18.18939273291231
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRQ,1,1p5,NA,0.9073085563877438,6.699521809554577,21.282916570809846
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRQ,2,0p7,NA,1.5381894112403987,5.787669600807985,8.570423463785714
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRQ,2,1p5,NA,0.5404399473462703,3.416017316414481,9.190682234204676
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRQ,NA,NA,3,2.28755215557092,4.699966005317201,4.993336490475245
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,IRQ,NA,NA,5,0.7108366551332527,1.8398287307696946,2.148167567491299
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRQ,1,0p7,NA,3.8432524972922617,15.738179236087936,22.51633896064644
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRQ,1,1p5,NA,1.4844616261957575,11.91644043772294,34.408898318190204
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRQ,2,0p7,NA,1.8553427457441072,7.105961280862702,10.208068304365506
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRQ,2,1p5,NA,0.8319662110656654,5.587963523044505,14.507982709090141
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRQ,NA,NA,3,2.0851980886427626,4.193210767565088,4.499295385012669
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,IRQ,NA,NA,5,0.6379301143362408,1.6280028106958693,1.8789356751005906
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRQ,1,0p7,NA,3.830735055164375,15.859313600357034,21.92087840483664
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRQ,1,1p5,NA,1.488750658697779,12.79109648290993,36.544102955283535
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRQ,2,0p7,NA,1.8553094811713986,7.121503367832303,10.041239592573257
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRQ,2,1p5,NA,0.8385892370530895,5.836528362248944,15.112177433120266
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRQ,NA,NA,3,2.0662989183560176,4.185381271394404,4.438652755533295
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,IRQ,NA,NA,5,0.6343136538537472,1.6423576862618823,1.9282181007973476
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRQ,1,0p7,NA,3.3348760977936296,13.68780828914181,15.792201942265352
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRQ,1,1p5,NA,1.5590952389404267,20.839983511795285,79.01769779066603
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRQ,2,0p7,NA,1.6468209018279139,6.222835817696001,7.720550293335638
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRQ,2,1p5,NA,0.8367354919951233,8.640867743127348,29.524755646268574
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRQ,NA,NA,3,1.676584384751296,2.6641730284213936,2.861894285788749
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,IRQ,NA,NA,5,0.5610413496812783,1.2534291840946135,1.3890058707802038
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRQ,1,0p7,NA,6.3449391976653065,23.298021307059354,30.958854142903572
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRQ,1,1p5,NA,4.565277169407627,36.883439271554884,98.04899483443933
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRQ,2,0p7,NA,2.7711207866977374,9.988850953530607,13.63264417615151
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRQ,2,1p5,NA,2.042940198887678,14.69329842646715,37.27332006147223
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRQ,NA,NA,3,1.7900431856219863,4.013846085900241,4.247685452177932
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,IRQ,NA,NA,5,0.613678899606813,1.6657564677719412,2.003087723416017
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRQ,1,0p7,NA,5.619635521498863,18.777711970403416,21.224879346476886
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRQ,1,1p5,NA,4.7979831144811955,60.444916749597255,246.46153732051803
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRQ,2,0p7,NA,2.4115337973102777,8.304840492502606,10.104177858705278
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRQ,2,1p5,NA,2.1359714234974785,22.44410795958965,85.10696124713067
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRQ,NA,NA,3,1.4457179339779256,2.734431918436121,2.8374261814684547
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,IRQ,NA,NA,5,0.5442839361047078,1.3426531028724176,1.5565672462744715
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,IRQ,1,0p7,NA,6.480867924416497,26.93218215603921,37.48909161533044
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,IRQ,1,1p5,NA,2.416572276352771,21.457123627426693,61.59798381317074
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,IRQ,2,0p7,NA,2.9703104031852616,11.539536395916437,16.153270821146187
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,IRQ,2,1p5,NA,1.254028769042392,9.32402155895195,24.4748723209884
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,IRQ,NA,NA,3,3.3118311466955483,6.371965994958123,6.856946523901879
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,IRQ,NA,NA,5,0.950249066252532,2.3683929003791917,2.6422862208893516
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,IRQ,1,0p7,NA,6.489706509835941,27.15043356117687,36.32946237563753
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,IRQ,1,1p5,NA,2.4454082108053776,23.361840317759608,65.99239252262579
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,IRQ,2,0p7,NA,2.957489496252497,11.52603251351237,15.827584902591914
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,IRQ,2,1p5,NA,1.2583321131734913,9.8250895948958,25.74669310547221
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,IRQ,NA,NA,3,3.1946609509821364,6.289732133202217,6.712937150846444
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,IRQ,NA,NA,5,0.9580913761178365,2.381282050312989,2.724603375433236
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,IRQ,1,0p7,NA,3.218359922064543,12.595994762723011,19.987181568211987
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,IRQ,1,1p5,NA,0.6507203046702212,4.1934339996846886,12.456470704682076
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,IRQ,2,0p7,NA,1.6674596536013988,6.261160738736819,9.567899067354187
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,IRQ,2,1p5,NA,0.4039040530355776,2.3722435855137247,6.01850408361919
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,IRQ,NA,NA,3,3.8988508070709846,7.681683599304956,8.28727959644093
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,IRQ,NA,NA,5,1.1398140599620945,2.864312078317392,3.1790824462325333
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,IRQ,1,0p7,NA,2.798633221657608,12.222764851712807,15.260863747988695
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,IRQ,1,1p5,NA,0.6511420041274103,7.7050997574334685,31.479857582001507
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,IRQ,2,0p7,NA,1.5040795867532277,5.88682806860462,7.630317414012192
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,IRQ,2,1p5,NA,0.41055786671938926,3.6124302424157873,12.425677429567779
