run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ISL,2,1p5,NA,-0.03672822815382157,0.07591710201885153,0.2994202697441641
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,ISL,NA,NA,3,-0.11756514589048467,0.09220425306414695,0.14466932375902725
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ISL,2,1p5,NA,-0.03738647881052988,0.07597535440288226,0.3016474708351458
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,ISL,NA,NA,3,-0.11807349655173169,0.09231950472102757,0.1474795664542147
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ISL,2,1p5,NA,-0.03535373293169513,0.07245134551155596,0.28771415065864053
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,ISL,NA,NA,3,-0.11926636326952876,0.09271304529256612,0.14378064063017573
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ISL,2,1p5,NA,-0.03604538881106239,0.07265170360564407,0.2898463595493476
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,ISL,NA,NA,3,-0.12015200437517826,0.09272264413381429,0.1465281485686994
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ISL,2,1p5,NA,-0.03241678408721212,0.08003855759835013,0.3527785041008908
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,ISL,NA,NA,3,-0.11851258481369033,0.08314513198314742,0.11281467250766851
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ISL,2,1p5,NA,-0.02875193663713552,0.059527783398330376,0.21648438121520347
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,ISL,NA,NA,3,-0.05812813077682317,0.04876423807026547,0.08285748321615866
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ISL,2,1p5,NA,-0.026317497255089722,0.0659715124533588,0.2622216781916599
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,ISL,NA,NA,3,-0.05732979886310244,0.04434191772573909,0.06982828888031915
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ISL,2,1p5,NA,-0.02985118035090995,0.059630499212513385,0.2298245609106639
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,ISL,NA,NA,3,-0.09314851737800717,0.07485566830122187,0.12110601491281875
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ISL,2,1p5,NA,-0.03044890148184534,0.0596669708469866,0.23106057880958053
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,ISL,NA,NA,3,-0.09363244231739283,0.0750487221587323,0.12350491627495826
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ISL,2,1p5,NA,-0.04336897971991737,0.08506920330527454,0.34505564487282714
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,ISL,NA,NA,3,-0.2256695280996049,0.16778474116987488,0.24289017458154089
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ISL,2,1p5,NA,-0.03833220508955103,0.09307911518511168,0.44328505125353473
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,ISL,NA,NA,3,-0.22268062911567882,0.14764342319819335,0.18166927933594765
bhm_lr,bootstrap,uncertain,SSP1,rcp45,224775,ISL,2,1p5,NA,-0.035355984386250365,0.06749673853958615,0.31452817600079225
bhm_lr,bootstrap,uncertain,SSP1,rcp45,224775,ISL,NA,NA,3,-0.10907064389378848,0.07819492142429986,0.14485859691775707
bhm_lr,bootstrap,uncertain,SSP1,rcp60,149850,ISL,2,1p5,NA,-0.03549226102348818,0.07639688489498056,0.34036747840069104
bhm_lr,bootstrap,uncertain,SSP1,rcp60,149850,ISL,NA,NA,3,-0.11872670107588476,0.08072184488131562,0.13060503575810756
bhm_lr,bootstrap,uncertain,SSP1,rcp85,254745,ISL,2,1p5,NA,-0.03171753102775439,0.08142785833763255,0.41648610467765723
bhm_lr,bootstrap,uncertain,SSP1,rcp85,254745,ISL,NA,NA,3,-0.1082523343588677,0.06875874085914156,0.10847993784049488
bhm_lr,bootstrap,uncertain,SSP2,rcp45,224775,ISL,2,1p5,NA,-0.03296680970623013,0.0661966876462598,0.30789365251599693
bhm_lr,bootstrap,uncertain,SSP2,rcp45,224775,ISL,NA,NA,3,-0.10798197093905304,0.07780263603674879,0.14404934159460658
bhm_lr,bootstrap,uncertain,SSP2,rcp60,149850,ISL,2,1p5,NA,-0.034974695169421845,0.07270194565887088,0.32718257040886495
bhm_lr,bootstrap,uncertain,SSP2,rcp60,149850,ISL,NA,NA,3,-0.11652997398234714,0.08035414686950577,0.1298654630947952
bhm_lr,bootstrap,uncertain,SSP2,rcp85,254745,ISL,2,1p5,NA,-0.030365666687888013,0.07832424679573646,0.3973582150970127
bhm_lr,bootstrap,uncertain,SSP2,rcp85,254745,ISL,NA,NA,3,-0.10887282458110203,0.06837444992048712,0.10714038938396968
bhm_lr,bootstrap,uncertain,SSP3,rcp45,224775,ISL,2,1p5,NA,-0.027381132075563447,0.052942469687166586,0.23061106767577483
bhm_lr,bootstrap,uncertain,SSP3,rcp45,224775,ISL,NA,NA,3,-0.05257991093941584,0.04510018964521477,0.08077189620204729
bhm_lr,bootstrap,uncertain,SSP3,rcp60,149850,ISL,2,1p5,NA,-0.027329787273510275,0.05900403301978266,0.24632141268687027
bhm_lr,bootstrap,uncertain,SSP3,rcp60,149850,ISL,NA,NA,3,-0.05711104071638878,0.045310324433638506,0.07588348044279242
bhm_lr,bootstrap,uncertain,SSP3,rcp85,254745,ISL,2,1p5,NA,-0.02502631833683528,0.0624191356931674,0.2957719585439908
bhm_lr,bootstrap,uncertain,SSP3,rcp85,254745,ISL,NA,NA,3,-0.052274263030844356,0.04111776882166644,0.06510512181759177
bhm_lr,bootstrap,uncertain,SSP4,rcp45,224775,ISL,2,1p5,NA,-0.0287626154516464,0.05280947997267614,0.24637853210166394
bhm_lr,bootstrap,uncertain,SSP4,rcp45,224775,ISL,NA,NA,3,-0.08658905419457516,0.06583797464304617,0.12013780633320392
bhm_lr,bootstrap,uncertain,SSP4,rcp60,149850,ISL,2,1p5,NA,-0.02913993982633087,0.05988604658563766,0.2627381811748897
bhm_lr,bootstrap,uncertain,SSP4,rcp60,149850,ISL,NA,NA,3,-0.0925455516787668,0.06758241360396092,0.10980762682585507
bhm_lr,bootstrap,uncertain,SSP4,rcp85,254745,ISL,2,1p5,NA,-0.025669048745280223,0.061829607236842235,0.31494449493855653
bhm_lr,bootstrap,uncertain,SSP4,rcp85,254745,ISL,NA,NA,3,-0.08556911686705443,0.05875867721558199,0.09259426687088049
bhm_lr,bootstrap,uncertain,SSP5,rcp45,224775,ISL,2,1p5,NA,-0.039827171224485376,0.07559472897051829,0.37143446661991697
bhm_lr,bootstrap,uncertain,SSP5,rcp45,224775,ISL,NA,NA,3,-0.1972933771592503,0.1313978255908895,0.2512432792989821
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,2,1p5,NA,-0.04085301545573513,0.08460199733911261,0.40428709929368223
bhm_lr,bootstrap,uncertain,SSP5,rcp60,149850,ISL,NA,NA,3,-0.22537471477433704,0.13464213187174154,0.22290814605022302
bhm_lr,bootstrap,uncertain,SSP5,rcp85,254745,ISL,2,1p5,NA,-0.03486759905817873,0.09206247561670723,0.5081019079890897
bhm_lr,bootstrap,uncertain,SSP5,rcp85,254745,ISL,NA,NA,3,-0.2014299261278097,0.11231776055926196,0.18072500550619847
bhm_lr,estimates,expected,SSP1,rcp45,1,ISL,2,1p5,NA,NA,0.07541448885900243,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,ISL,NA,NA,3,NA,0.09310843236869884,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,ISL,2,1p5,NA,NA,0.07566186257492002,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,ISL,NA,NA,3,NA,0.09290971985922543,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,ISL,2,1p5,NA,NA,0.07196279046581923,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,ISL,NA,NA,3,NA,0.09366829328129805,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,ISL,2,1p5,NA,NA,0.0721655391463099,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,ISL,NA,NA,3,NA,0.0934145092797394,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,ISL,2,1p5,NA,NA,0.08178881441911973,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,ISL,NA,NA,3,NA,0.08368471211046488,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,ISL,2,1p5,NA,NA,0.059108195699392935,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,ISL,NA,NA,3,NA,0.04904549229031865,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,ISL,2,1p5,NA,NA,0.06752898012200098,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,ISL,NA,NA,3,NA,0.04504876432537118,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,ISL,2,1p5,NA,NA,0.05922529694433698,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,ISL,NA,NA,3,NA,0.07548304262566462,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,ISL,2,1p5,NA,NA,0.05930535158630108,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,ISL,NA,NA,3,NA,0.07541958749859093,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,ISL,2,1p5,NA,NA,0.08459061768486353,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,ISL,NA,NA,3,NA,0.16997144240478887,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,ISL,2,1p5,NA,NA,0.09537748346297063,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,ISL,NA,NA,3,NA,0.14911697860036022,NA
