run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KAZ,1,0p7,NA,-0.317650005162286,5.802465596938827,10.096521562279209
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KAZ,1,1p5,NA,-0.1474348043662194,3.773620080993361,13.938092992007567
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KAZ,2,0p7,NA,-0.19013056271437984,2.8940250317967857,5.1104777639317644
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KAZ,2,1p5,NA,-0.0880896825633239,1.8997101992788414,6.145289051155425
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KAZ,NA,NA,3,-0.2527010925198954,2.411217761319162,3.104584422688176
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KAZ,NA,NA,5,-0.11250811256082878,1.0672782570872015,1.5872668276045085
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KAZ,1,0p7,NA,-0.33911594643429727,5.822157497815578,10.030224597112138
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KAZ,1,1p5,NA,-0.13782593258022144,3.877105614695056,14.335717180287855
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KAZ,2,0p7,NA,-0.20841698271164946,2.8990693289992833,5.097023180502884
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KAZ,2,1p5,NA,-0.08647431388361353,1.9199412258237503,6.234674472311086
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KAZ,NA,NA,3,-0.28066867765346043,2.4311497548950607,3.1996593913126015
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KAZ,NA,NA,5,-0.13643855438944347,1.073738410717456,1.6437729994223667
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KAZ,1,0p7,NA,-0.33553504799126826,6.847369204639599,11.53483721297906
