run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KEN,1,0p7,NA,1.2706829272529523,4.103057351189349,6.36534581358445
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KEN,1,1p5,NA,0.1680599374209675,0.7218309340971589,1.4674720613831056
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KEN,2,0p7,NA,0.6641092217219803,2.1011406133446244,3.2061907828027016
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KEN,2,1p5,NA,0.10842575539482276,0.4435308395325506,0.8578975904369379
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KEN,NA,NA,3,2.6006015591543648,5.4451560573192905,5.908840153491695
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KEN,NA,NA,5,0.6952317550148587,1.6338874226047162,1.9311485774202293
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KEN,1,0p7,NA,1.2637130917995179,4.09552142855069,6.369098190502635
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KEN,1,1p5,NA,0.16823221079146145,0.7290802312444777,1.5157099719061244
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KEN,2,0p7,NA,0.6623720792790584,2.0968046261220117,3.2002766359511807
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KEN,2,1p5,NA,0.10934112903247181,0.44562310909297387,0.8711593520666194
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KEN,NA,NA,3,2.570510845458837,5.311241828113641,5.728425748003364
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KEN,NA,NA,5,0.6911790061113771,1.6220453604870106,1.9261034641474488
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KEN,1,0p7,NA,1.427316443229041,4.637273526062096,7.246890304583087
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KEN,1,1p5,NA,0.2546921551624265,1.1313449469736507,2.3952799682261885
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KEN,2,0p7,NA,0.7144915331755811,2.2712999853583584,3.4765421814441018
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KEN,2,1p5,NA,0.1571484520399681,0.662267723275906,1.3173936347028778
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KEN,NA,NA,3,1.962859579671471,4.0250252804146625,4.351439874056437
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KEN,NA,NA,5,0.5026763761216327,1.1775280444079808,1.3820233540573825
