run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KOR,1,0p7,NA,5.573860343925809,25.373702933066117,43.18661640200173
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KOR,1,1p5,NA,2.476578180757592,16.68746573598581,45.38542828030265
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KOR,2,0p7,NA,2.863068211274388,12.89944390789073,21.81760934418703
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KOR,2,1p5,NA,1.4300775565839228,8.7848919173763509,21.469214418431907
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KOR,NA,NA,3,3.0286605068112675,10.416858429690219,13.833791189943435
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,KOR,NA,NA,5,1.1616465438172814,4.528784788958823,6.706352452140966
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KOR,1,0p7,NA,5.49372061981423,25.341328942748028,43.415523218382226
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KOR,1,1p5,NA,2.4263973404637,16.548702069764637,45.140227273568236
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KOR,2,0p7,NA,2.8064653494053555,12.92238395632529,21.900886528504824
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KOR,2,1p5,NA,1.426077947168702,8.760820177358253,21.18322492353275
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KOR,NA,NA,3,2.969762629860378,10.548381438974157,14.502932228202477
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,KOR,NA,NA,5,1.1816436005996607,4.639365223402099,6.99573547793311
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KOR,1,0p7,NA,5.212085851638067,23.73831303118279,40.67678488067058
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KOR,1,1p5,NA,2.2965199291620126,15.358319872809567,42.03735695702041
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KOR,2,0p7,NA,2.6845289034730064,12.092355275775954,20.5463382586972
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KOR,2,1p5,NA,1.3164604583620272,8.196050136444814,20.028640218727816
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KOR,NA,NA,3,2.862992957548855,9.821090518182034,13.015708258927523
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,KOR,NA,NA,5,1.0937617498837533,4.258166871746703,6.315636528415776
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,KOR,1,0p7,NA,5.140296061090835,23.713474529198116,40.88044193641009
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,KOR,1,1p5,NA,2.248932702428075,15.252374543169054,41.8049471400712
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,KOR,2,0p7,NA,2.631410784477291,12.117059435821128,20.620516455147555
