run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,KWT,2,1p5,NA,0.4805267332724714,4.617261590605277,12.615097327415533
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,KWT,NA,NA,3,0.6152932652389004,1.943919616678669,2.1344264666104076
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,KWT,2,1p5,NA,0.48631255990831485,4.696636674031334,13.122316252219346
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,KWT,NA,NA,3,0.6178800407984163,1.9650323356388688,2.2373502827640195
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,KWT,2,1p5,NA,0.6131098557901218,6.053858837522412,16.744792100663087
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,KWT,NA,NA,3,0.6693069083886879,2.035320788280622,2.180840072255889
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,KWT,2,1p5,NA,0.6189737377732922,6.173188646083173,17.614474948181236
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,KWT,NA,NA,3,0.6655423820800769,2.053071513535893,2.2657132734424876
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,KWT,2,1p5,NA,0.5066551086433857,8.941413010043105,40.19078410933199
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,KWT,NA,NA,3,0.5058869893470948,1.4555248397205076,1.5076595515470534
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,KWT,2,1p5,NA,0.8027539367995291,7.724325063922914,22.20554698896301
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,KWT,NA,NA,3,0.5562438813725811,1.7879809010590957,1.9997794098857848
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,KWT,2,1p5,NA,0.646750789388355,11.914608428583042,57.40514900373481
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,KWT,NA,NA,3,0.43298147677409066,1.3406972489622264,1.4352735778266508
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,KWT,2,1p5,NA,0.45046716998769365,4.407217335358867,11.9551528807542
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,KWT,NA,NA,3,0.7183301338105831,2.2540602890089603,2.4590993173797604
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,KWT,2,1p5,NA,0.4554788765005639,4.475098756720555,12.521652732463249
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,KWT,NA,NA,3,0.7190146532052649,2.280440912944213,2.5778198616098993
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,KWT,2,1p5,NA,0.45053245609957615,4.45176281279728,11.951154154391112
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,KWT,NA,NA,3,1.030358999337372,3.071464141850132,3.2694980084997938
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,KWT,2,1p5,NA,0.3626694863074731,6.368413901076285,27.18646346805996
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,KWT,NA,NA,3,0.7808230861799748,2.127464926775121,2.2173258758876644
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,KWT,2,1p5,NA,0.44497381809620323,4.347136744256385,12.033866944643478
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,KWT,NA,NA,3,0.6114455084754138,1.7682394481088892,2.330444773495795
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,KWT,2,1p5,NA,0.4498876164334556,4.282604024919553,12.256722695789893
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,KWT,NA,NA,3,0.6087993519593852,1.871078109641957,2.3263777872068263
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,KWT,2,1p5,NA,0.43800415013582966,6.414332569317889,27.420780516990813
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,KWT,NA,NA,3,0.5099758402840109,1.3593650874625045,1.6380514400142445
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,KWT,2,1p5,NA,0.6062930508815676,5.694150780989336,16.22701364408853
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,KWT,NA,NA,3,0.6549534360241538,1.8314962194015543,2.4082441106332206
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,KWT,2,1p5,NA,0.5551317173036278,5.649277798346418,16.38678712626587
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,KWT,NA,NA,3,0.6471103647138697,1.9470648271061308,2.3906376949976966
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,KWT,2,1p5,NA,0.5673704538291489,8.664427636521214,38.05835525106941
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,KWT,NA,NA,3,0.5476288510000916,1.377334673913784,1.6476347728226353
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,KWT,2,1p5,NA,0.7689429153349844,7.240021032447133,21.196785552620774
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,KWT,NA,NA,3,0.5512576798581739,1.6333133833558569,2.1574671318852494
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,KWT,2,1p5,NA,0.7619802870268331,7.126915033108658,21.851404441181167
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,KWT,NA,NA,3,0.5318113053993859,1.7214953258624182,2.1663881154695495
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,KWT,2,1p5,NA,0.6992613758947437,11.257438482257118,53.79207701865499
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,KWT,NA,NA,3,0.47338713850238484,1.2782967767807936,1.5433792342943784
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,KWT,2,1p5,NA,0.42003570161348674,4.20794325992695,11.530398388212973
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,KWT,NA,NA,3,0.6911977397472934,2.043626004714887,2.6981882142880815
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,KWT,2,1p5,NA,0.4195029402934961,4.096321729079905,11.800424489677104
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,KWT,NA,NA,3,0.7014027801519733,2.1666415083049677,2.685744456727199
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,KWT,2,1p5,NA,0.423818309673181,6.1749051057339575,26.29845778971224
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,KWT,NA,NA,3,0.5895204247173137,1.5603634606458472,1.8811222649109915
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,KWT,2,1p5,NA,0.41516288994570466,4.177698712505592,11.574510914718728
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,KWT,NA,NA,3,1.0389263399229527,2.7726427923038903,3.637552127217401
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,KWT,2,1p5,NA,0.42239360097525697,4.097839932563846,11.87099931497872
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,KWT,NA,NA,3,0.9988351501024052,2.940578400872427,3.5988653978984644
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,KWT,2,1p5,NA,0.38320174804743107,6.0762981346806475,25.6544071044766
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,KWT,NA,NA,3,0.8588671527730272,2.033682450525772,2.441021782033941
bhm_lr,estimates,expected,SSP1,rcp45,1,KWT,2,1p5,NA,NA,4.3310527547765645,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,KWT,NA,NA,3,NA,1.9190426472495767,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,KWT,2,1p5,NA,NA,4.393481040247553,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,KWT,NA,NA,3,NA,1.939822692821443,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,KWT,2,1p5,NA,NA,5.673578593161878,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,KWT,NA,NA,3,NA,2.0159364131838697,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,KWT,2,1p5,NA,NA,5.771931357233391,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,KWT,NA,NA,3,NA,2.0301249379659874,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,KWT,2,1p5,NA,NA,8.31031824178126,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,KWT,NA,NA,3,NA,1.4583947131669142,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,KWT,2,1p5,NA,NA,7.214466831225086,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,KWT,NA,NA,3,NA,1.7641183142261923,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,KWT,2,1p5,NA,NA,11.044422821119447,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,KWT,NA,NA,3,NA,1.3284875476088098,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,KWT,2,1p5,NA,NA,4.128583894504465,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,KWT,NA,NA,3,NA,2.227862824363574,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,KWT,2,1p5,NA,NA,4.190544670268045,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,KWT,NA,NA,3,NA,2.2516792106159804,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,KWT,2,1p5,NA,NA,4.178356376839155,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,KWT,NA,NA,3,NA,3.072607846859459,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,KWT,2,1p5,NA,NA,5.936191033103672,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,KWT,NA,NA,3,NA,2.1884517790245486,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,KWT,2,1p5,NA,3.3920901211691956,4.050095627151331,5.171716572228468
bhm_lr,estimates,uncertain,SSP1,rcp45,315,KWT,NA,NA,3,1.6022025762491479,1.8865418240586436,2.322430545572481
bhm_lr,estimates,uncertain,SSP1,rcp60,210,KWT,2,1p5,NA,3.2318975246471067,3.9303469393692767,5.701956450184208
bhm_lr,estimates,uncertain,SSP1,rcp60,210,KWT,NA,NA,3,1.7288769445507173,1.9270466764654066,2.17650089010752
bhm_lr,estimates,uncertain,SSP2,rcp45,315,KWT,2,1p5,NA,4.417758104071233,5.296906279958497,6.79695023133147
bhm_lr,estimates,uncertain,SSP2,rcp45,315,KWT,NA,NA,3,1.6811360440275316,1.9840067159859125,2.4524562765392077
bhm_lr,estimates,uncertain,SSP2,rcp60,210,KWT,2,1p5,NA,4.214418627681423,5.136348852776779,7.497022049167743
bhm_lr,estimates,uncertain,SSP2,rcp60,210,KWT,NA,NA,3,1.8170018144418025,2.0193757715960645,2.2954009868243395
bhm_lr,estimates,uncertain,SSP2,rcp85,345,KWT,2,1p5,NA,6.104695225433808,7.548070108883157,12.232854371651593
bhm_lr,estimates,uncertain,SSP2,rcp85,345,KWT,NA,NA,3,1.3073248538280562,1.4571377306004334,1.6955581526318986
bhm_lr,estimates,uncertain,SSP3,rcp45,315,KWT,2,1p5,NA,5.560022171252795,6.74370065781708,8.720340076373938
bhm_lr,estimates,uncertain,SSP3,rcp45,315,KWT,NA,NA,3,1.4734320822567597,1.7330291717120083,2.1291474175473653
bhm_lr,estimates,uncertain,SSP3,rcp85,345,KWT,2,1p5,NA,7.994157863156735,10.0341570543773,16.603334292084448
bhm_lr,estimates,uncertain,SSP3,rcp85,345,KWT,NA,NA,3,1.1791494604513746,1.326698526921449,1.5369895098581106
bhm_lr,estimates,uncertain,SSP4,rcp45,315,KWT,2,1p5,NA,3.234314338375254,3.8605730569708325,4.928922868776526
bhm_lr,estimates,uncertain,SSP4,rcp45,315,KWT,NA,NA,3,1.8593456529366787,2.18997569837375,2.7002705564034613
bhm_lr,estimates,uncertain,SSP4,rcp60,210,KWT,2,1p5,NA,3.082797443337946,3.746988986596189,5.439668421844072
bhm_lr,estimates,uncertain,SSP4,rcp60,210,KWT,NA,NA,3,2.008022249580775,2.2348660268898723,2.531851152408939
bhm_lr,estimates,uncertain,SSP5,rcp45,315,KWT,2,1p5,NA,3.187861117158137,3.807201531321785,4.940737279951629
bhm_lr,estimates,uncertain,SSP5,rcp45,315,KWT,NA,NA,3,2.5530944110040203,3.0337165158981403,3.7549897654205595
bhm_lr,estimates,uncertain,SSP5,rcp85,345,KWT,2,1p5,NA,4.397915893259793,5.397207157221719,8.59141359157408
bhm_lr,estimates,uncertain,SSP5,rcp85,345,KWT,NA,NA,3,1.963171422379932,2.1863660356945647,2.5523755147793383
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,KWT,2,1p5,NA,-1.4257229893698755,1.5230568826560378,9.746359592612347
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp45,1e3,KWT,NA,NA,3,-7.195678269611429,1.332215262215622,2.163879328806197
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,KWT,2,1p5,NA,-1.4127755655445107,1.5410958009322187,9.717147074233663
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp60,1e3,KWT,NA,NA,3,-7.418622247365387,1.320734510833146,2.25370967621997
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,KWT,2,1p5,NA,-1.2532961171584331,1.854611818476895,13.379472335899708
bhm_richpoor_lr,bootstrap,expected,SSP1,rcp85,1e3,KWT,NA,NA,3,-14.978934657658861,1.0958263729117614,1.5856087430734325
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,KWT,2,1p5,NA,-1.7579813212291002,1.9999617800017933,12.320720380456596
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp45,1e3,KWT,NA,NA,3,-8.17063727471889,1.4068449442835422,2.232582916230338
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,KWT,2,1p5,NA,-1.739588030166008,2.0441824673512556,12.59984655701656
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp60,1e3,KWT,NA,NA,3,-8.473691193277258,1.417513903724099,2.3100047478367274
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,KWT,2,1p5,NA,-1.5128479933042303,2.414811133470534,16.910834253174976
bhm_richpoor_lr,bootstrap,expected,SSP2,rcp85,1e3,KWT,NA,NA,3,-17.50235847896339,1.1513259904457402,1.6186163514702079
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,KWT,2,1p5,NA,-2.0132986746009207,2.557160763699262,14.697244452419246
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp45,1e3,KWT,NA,NA,3,-6.447377808425056,1.1953489261342856,2.040867351873955
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,KWT,2,1p5,NA,-1.9816463661542965,2.585234356613463,14.9853562449027
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp60,1e3,KWT,NA,NA,3,-6.646431166910067,1.2044652710872028,2.132862140598506
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,KWT,2,1p5,NA,-1.629052575833839,3.038447877079847,23.930616691523337
bhm_richpoor_lr,bootstrap,expected,SSP3,rcp85,1e3,KWT,NA,NA,3,-13.428509111544583,1.0046566791498597,1.525717737956609
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,1e3,KWT,2,1p5,NA,-1.3500412524613088,1.4332958297761917,9.631545536182216
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp45,1e3,KWT,NA,NA,3,-8.422948542127521,1.5280745900810657,2.4893485926545376
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp60,1e3,KWT,2,1p5,NA,-1.3378390714200665,1.4325733091405373,9.728962534905332
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp60,1e3,KWT,NA,NA,3,-8.68800442951652,1.5420437741271438,2.5955506223593923
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp85,1e3,KWT,2,1p5,NA,-1.189766772583185,1.7579260653694286,13.367574932086695
bhm_richpoor_lr,bootstrap,expected,SSP4,rcp85,1e3,KWT,NA,NA,3,-17.55760101643809,1.2720719729876486,1.803234621750834
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp45,1e3,KWT,2,1p5,NA,-1.395515059590735,1.3864630554082207,10.411318864201837
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp45,1e3,KWT,NA,NA,3,-12.738969655233385,2.1937812660619724,3.29701265705823
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,1e3,KWT,2,1p5,NA,-1.3846923108262739,1.3890368741611059,10.374438644955836
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp60,1e3,KWT,NA,NA,3,-13.217388983699365,2.1949418808944356,3.3954004077425908
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp85,1e3,KWT,2,1p5,NA,-1.2461976590849804,1.7166055983440869,13.857012301125506
bhm_richpoor_lr,bootstrap,expected,SSP5,rcp85,1e3,KWT,NA,NA,3,-27.2708422791173,1.7612098020101334,2.2954569317619447
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp45,314685,KWT,2,1p5,NA,-1.3563016523734215,1.4603494322527755,9.59915560179329
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp45,314685,KWT,NA,NA,3,-6.642383896832657,1.2615877219097873,2.2355676296426528
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp60,209790,KWT,2,1p5,NA,-1.3462336113438156,1.4576813380487537,9.482392901709915
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp60,209790,KWT,NA,NA,3,-6.374949189479465,1.2874638666557179,2.303257537487855
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp85,342240,KWT,2,1p5,NA,-1.2141209961812274,1.8205041846725554,13.339101971786397
bhm_richpoor_lr,bootstrap,uncertain,SSP1,rcp85,342240,KWT,NA,NA,3,-11.82967791133965,1.0576504597138416,1.6689683878222739
bhm_richpoor_lr,bootstrap,uncertain,SSP2,rcp45,314685,KWT,2,1p5,NA,-1.6533326234085464,1.8743098367833273,12.02048274298644
