run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LAO,1,0p7,NA,0.16547910715975242,0.7682388997333547,1.223251615931438
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LAO,1,1p5,NA,0.029056183411113917,0.19886877740018138,0.48890898521586706
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LAO,2,0p7,NA,0.0881537610876995,0.40537109716415537,0.6319908634123336
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LAO,2,1p5,NA,0.01916236871484513,0.12029099662713463,0.2682477584478211
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LAO,NA,NA,3,0.25135878926821137,0.7211119850232902,0.7839534666494676
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,LAO,NA,NA,5,0.07869850624184094,0.26354725062502266,0.3249704065805124
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LAO,1,0p7,NA,0.166362649985585,0.776585063809897,1.247625899954149
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LAO,1,1p5,NA,0.03048302275451944,0.1918451122513793,0.458934971782398
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LAO,2,0p7,NA,0.09134965102241063,0.41173223077634397,0.6484510418484583
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LAO,2,1p5,NA,0.020148532276966138,0.11604292299448131,0.25356702215088334
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LAO,NA,NA,3,0.25155241015232943,0.7691203087007789,0.8776801239360136
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,LAO,NA,NA,5,0.0831494480305494,0.28063245429209843,0.35913648891522987
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LAO,1,0p7,NA,0.1995733952169582,0.93237503902566,1.5031384414685331
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LAO,1,1p5,NA,0.04382932406047234,0.3194692743806621,0.8491589209501356
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LAO,2,0p7,NA,0.10141621163649527,0.4664984762564662,0.7281295314923265
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LAO,2,1p5,NA,0.027609849360023565,0.18178104597467373,0.4282176954698854
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LAO,NA,NA,3,0.21770097152923182,0.5963485401366714,0.6409505260993393
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,LAO,NA,NA,5,0.06421451591294108,0.2098638794924318,0.25540176386463015
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LAO,1,0p7,NA,0.19884142940618696,0.941509516679822,1.528792513990612
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LAO,1,1p5,NA,0.045919378917108636,0.30740812166884557,0.7914706565965128
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LAO,2,0p7,NA,0.10386467167726417,0.4730767269650052,0.7457482896658683
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LAO,2,1p5,NA,0.028845761198166973,0.1758722137997737,0.4025856856464387
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LAO,NA,NA,3,0.2170130539024345,0.6421625124373195,0.7091835698075633
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,LAO,NA,NA,5,0.067302932266126,0.2228875154839906,0.2816309404280612
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LAO,1,0p7,NA,0.19199017217102912,0.9137190135967077,1.3386180618367776
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LAO,1,1p5,NA,0.04620462660476431,0.44849843100551784,1.649896757352785
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LAO,2,0p7,NA,0.09962130787205724,0.4447175662113813,0.6458133133076676
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LAO,2,1p5,NA,0.02849522755050994,0.22976872322565803,0.6935202110492623
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LAO,NA,NA,3,0.19556241422981158,0.41739185715055405,0.44220067837522264
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,LAO,NA,NA,5,0.06140564212620787,0.17368066703319876,0.20051104075928455
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,LAO,1,0p7,NA,0.25900609105611266,1.2518185374714357,1.875761568778205
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,LAO,1,1p5,NA,0.0973554832718064,0.9070788535655504,2.4714043971350717
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,LAO,2,0p7,NA,0.12206628710258251,0.5671437733796904,0.8492774656753688
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,LAO,2,1p5,NA,0.05261424868090406,0.41514897872194223,1.0257609497480278
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,LAO,NA,NA,3,0.1353279413392291,0.3948934456042318,0.4324497699483871
