run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,MDA,1,0p7,NA,0.026681711569454133,0.14204936616538208,0.2491323021252664
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,MDA,1,1p5,NA,0.0049913735222139695,0.03929885065780327,0.09945983412572047
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,MDA,2,0p7,NA,0.015304468146699828,0.08255935157704487,0.14246885709738968
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,MDA,2,1p5,NA,0.0032365882142024053,0.02601829556486911,0.06054058708411416
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,MDA,NA,NA,3,0.03999873253979742,0.15340975747823477,0.1934886724765816
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,MDA,NA,NA,5,0.014645166510238025,0.06483981773256704,0.0922475071963199
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,MDA,1,0p7,NA,0.02650230552433297,0.14243029722247563,0.2505814879409044
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,MDA,1,1p5,NA,0.004672922313689536,0.03929068651670506,0.10100144062315455
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,MDA,2,0p7,NA,0.014698561737545256,0.082484252302448,0.14363888513383843
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,MDA,2,1p5,NA,0.0030732083291843985,0.025943648365103662,0.06062619075524581
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,MDA,NA,NA,3,0.03955854639875361,0.1538860791409895,0.19820638003344512
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,MDA,NA,NA,5,0.013228856220027068,0.06552723002753762,0.09501875717537805
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,MDA,1,0p7,NA,0.028570985147150726,0.150914922662304,0.2653648313103597
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,MDA,1,1p5,NA,0.006240029010848289,0.048765450019616796,0.12860386223437378
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,MDA,2,0p7,NA,0.015722683855609095,0.08398024180550472,0.14525886924730827
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,MDA,2,1p5,NA,0.003894859817435687,0.03127224519461197,0.07572833535394238
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,MDA,NA,NA,3,0.03446088767580702,0.1290219201653097,0.1586614440523919
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,MDA,NA,NA,5,0.01206964766443045,0.05252898689419971,0.07408176345301595
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,MDA,1,0p7,NA,0.028287663341027076,0.15087806863999406,0.26696980956492117
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,MDA,1,1p5,NA,0.0056503314213460585,0.04877646652778389,0.1314636832241656
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,MDA,2,0p7,NA,0.015424793507322487,0.08421344504412454,0.14632629731576519
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,MDA,2,1p5,NA,0.003745208772399086,0.031183522016551016,0.07508161477030255
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,MDA,NA,NA,3,0.034465836419917094,0.1291093078657904,0.16158228791319892
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,MDA,NA,NA,5,0.011172997672962039,0.05297282145611282,0.0760980222502629
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,MDA,1,0p7,NA,0.033941581835572464,0.14952575360275058,0.24350649242993913
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,MDA,1,1p5,NA,0.007928140965916227,0.062438061913191824,0.226422084180454
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,MDA,2,0p7,NA,0.018975364928866027,0.08231923943133954,0.13275104009059252
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,MDA,2,1p5,NA,0.004866802900692171,0.03694169681876591,0.1072085875074322
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,MDA,NA,NA,3,0.03801429122736908,0.10368992261097713,0.11609759787281836
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,MDA,NA,NA,5,0.013438049256204393,0.046616702437888236,0.061492861050188766
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,MDA,1,0p7,NA,0.04240988082800239,0.22816422976959988,0.40837117740999623
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,MDA,1,1p5,NA,0.012839049491985896,0.10567161619413747,0.3431673693726755
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,MDA,2,0p7,NA,0.021831144615917068,0.11483615757776808,0.19936735554777268
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,MDA,2,1p5,NA,0.007368528226661953,0.05817789900589452,0.1600482798436739
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,MDA,NA,NA,3,0.0320622301517537,0.11828945679695935,0.14410759238587836
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,MDA,NA,NA,5,0.011036445121426588,0.047736145133347424,0.06710054828740933
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,MDA,1,0p7,NA,0.05042152784700546,0.22873387810064988,0.33365132337899434
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,MDA,1,1p5,NA,0.016702588274405128,0.15891897047825973,0.5481610527052762
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,MDA,2,0p7,NA,0.02622262497817418,0.11244162747333168,0.17076812765746152
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,MDA,2,1p5,NA,0.009318801819814286,0.07726120627042782,0.23012513725477704
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,MDA,NA,NA,3,0.03518159030371775,0.09445963508681796,0.10451347513544704
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,MDA,NA,NA,5,0.012278240392716317,0.042175646772956654,0.05562555554365308
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,MDA,1,0p7,NA,0.024022363670824973,0.1274879314898382,0.22380751200664092
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,MDA,1,1p5,NA,0.005125659405014078,0.040750485120014966,0.10297849398365137
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,MDA,2,0p7,NA,0.013558503291144195,0.07355804068242126,0.12744930338539975
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,MDA,2,1p5,NA,0.003380000124799522,0.02706958426418659,0.06286444229397806
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,MDA,NA,NA,3,0.03128927119670304,0.11902584972161534,0.14926234657848395
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,MDA,NA,NA,5,0.011311215103152741,0.05007220363707312,0.07127601130653956
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,MDA,1,0p7,NA,0.023700516056392385,0.1277991350870338,0.22515810986426643
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,MDA,1,1p5,NA,0.004872641541888415,0.04075863341991349,0.10474857224804178
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,MDA,2,0p7,NA,0.013037071919347564,0.07368598510698621,0.128488742440067
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,MDA,2,1p5,NA,0.0031685924365860165,0.0268245478856724,0.0628926567433064
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,MDA,NA,NA,3,0.031024133976707138,0.11915066975575092,0.15286638229048338
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,MDA,NA,NA,5,0.010204083692650277,0.05055535909007868,0.07342478616524113
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,MDA,1,0p7,NA,0.0203030907842623,0.10846088706235346,0.1894285013324248
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,MDA,1,1p5,NA,0.0032423883613214442,0.02620976166802554,0.06140402067265159
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,MDA,2,0p7,NA,0.012130969132192965,0.06634809348021467,0.11513405450951657
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,MDA,2,1p5,NA,0.0023978853946305537,0.01856701673712372,0.041107068864127676
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,MDA,NA,NA,3,0.03774030599601315,0.1517855975643549,0.1935868343984503
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,MDA,NA,NA,5,0.01451883729743388,0.0650733910079101,0.0932782914849999
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,MDA,1,0p7,NA,0.02489629958238955,0.10724143603992242,0.17948006730123894
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,MDA,1,1p5,NA,0.00408228943172513,0.030402032588366205,0.09162621513670562
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,MDA,2,0p7,NA,0.014146589717903996,0.06538303220437496,0.10783272881781786
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,MDA,2,1p5,NA,0.0029404891732420706,0.02045618027218548,0.05268156345603299
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,MDA,NA,NA,3,0.0443264717850848,0.12526047474876575,0.14673048831028868
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,MDA,NA,NA,5,0.01638956456864577,0.05859417512804341,0.07863293999705025
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,1,0p7,NA,0.024356431590616137,0.1359804332698498,0.24472190176490446
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,1,1p5,NA,0.004805026309460234,0.03725976176622207,0.098416051987452
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,2,0p7,NA,0.01362625253629979,0.07848338208203205,0.14014401465822496
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,2,1p5,NA,0.003096742666482708,0.024721236750478822,0.05997984306156156
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,NA,NA,3,0.03700448422982205,0.1353222117652994,0.205643283740542
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MDA,NA,NA,5,0.0134787615744357,0.05983476244360729,0.09406093782513461
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,1,0p7,NA,0.023028192958489582,0.1315875786835272,0.2391682594392884
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,1,1p5,NA,0.004242030145697535,0.03530062584476176,0.09406480759845533
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,2,0p7,NA,0.013034739216542576,0.07516178693139228,0.13602467473736096
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,2,1p5,NA,0.0029303192839847695,0.023417321912767755,0.05739720544759034
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,NA,NA,3,0.033663995104507474,0.1382328947848308,0.1967483310343996
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MDA,NA,NA,5,0.012188037476326755,0.06019977197640384,0.0922025778654866
