run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MLI,2,1p5,NA,0.013344486525372153,0.1557317857502652,0.4336484873401132
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,MLI,NA,NA,3,0.6378654701679846,1.962214195046881,2.2509160238748747
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MLI,2,1p5,NA,0.013507122237758806,0.1530443060037592,0.43246803845218634
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,MLI,NA,NA,3,0.6387218444895799,2.0219311707325356,2.2813605571246827
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MLI,2,1p5,NA,0.02091085743678033,0.2568409934483758,0.7808333238485402
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,MLI,NA,NA,3,0.4796153464628289,1.4100848432432775,1.624785718788344
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MLI,2,1p5,NA,0.021430452823433543,0.2562194217945547,0.7865495362774266
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,MLI,NA,NA,3,0.47997474490222275,1.4306206315271681,1.636989726956619
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MLI,2,1p5,NA,0.019410225261264662,0.36122310454158907,1.7709474616244973
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,MLI,NA,NA,3,0.34850114948080235,0.7706637165100806,1.0009942077768574
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MLI,2,1p5,NA,0.04255676445553424,0.6809442268050087,2.224145808720846
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,MLI,NA,NA,3,0.17248901516762413,0.5794633213046967,0.6436489070477319
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MLI,2,1p5,NA,0.038036671501083634,1.0518736400121098,4.882020368655358
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,MLI,NA,NA,3,0.13345468323004012,0.36395330368653844,0.41678180055473185
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MLI,2,1p5,NA,0.04941787485303347,0.8548825204791882,2.622388693493083
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,MLI,NA,NA,3,0.11766536820417065,0.4289859962798746,0.4671351230296071
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MLI,2,1p5,NA,0.05056557303210371,0.8552978941196071,2.6470629436353525
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,MLI,NA,NA,3,0.11805486293463646,0.4495544001824551,0.4818317354761746
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MLI,2,1p5,NA,0.011088826134646724,0.12378203020834398,0.32898322835193883
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,MLI,NA,NA,3,0.9607470638028947,2.8781316323557236,3.3208611628925913
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MLI,2,1p5,NA,0.010126757899676328,0.15628880947512863,0.7614889262769176
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,MLI,NA,NA,3,0.6688917485826547,1.5988736956973957,2.0461037264353377
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MLI,2,1p5,NA,0.013141985042599776,0.1502611126280791,0.4173813996755564
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,MLI,NA,NA,3,0.648108147215378,1.9288776292356562,2.423493718037851
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MLI,2,1p5,NA,0.012014617418253565,0.14139048782464436,0.3910470269377069
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,MLI,NA,NA,3,0.6203306994059731,1.9380301508296176,2.3482985673317596
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MLI,2,1p5,NA,0.012983842667360307,0.19359677806242415,0.9435048051417151
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,MLI,NA,NA,3,0.4295829583159274,1.0997910421465473,1.4736700723426166
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MLI,2,1p5,NA,0.019076262889305716,0.2483731445811567,0.7428681557346607
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,MLI,NA,NA,3,0.4698259426275195,1.381280924665716,1.74630661875663
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MLI,2,1p5,NA,0.0198360555957951,0.23579766608799013,0.6983805315221092
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,MLI,NA,NA,3,0.465806289625257,1.3754948494827952,1.6861592189045294
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,MLI,2,1p5,NA,0.018438391281357,0.33388769184817185,1.6226072251646906
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,MLI,NA,NA,3,0.3284980831379156,0.7575606490897533,1.0467150687291382
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,MLI,2,1p5,NA,0.0400067772983514,0.640666917063858,2.1574148127574726
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,MLI,NA,NA,3,0.18215363998126574,0.565386009912396,0.6948155188074344
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,MLI,2,1p5,NA,0.04035287010541191,0.6134129956827904,1.995845368416598
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,MLI,NA,NA,3,0.17344524310708295,0.5725827091883394,0.681269777229959
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,MLI,2,1p5,NA,0.039049178147156645,0.9973212215712223,4.49874046575428
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,MLI,NA,NA,3,0.13858488301978408,0.3517559784983465,0.4420535607707462
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,MLI,2,1p5,NA,0.050294524985574636,0.8185087579573697,2.5211514535151527
