run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NAM,2,1p5,NA,0.03406778614783302,0.17347574579226055,0.4354887887073409
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,NAM,NA,NA,3,0.1556216635525069,0.3255097650096957,0.34842449779083373
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NAM,2,1p5,NA,0.03388482605232695,0.17345449974794364,0.43892137054526037
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,NAM,NA,NA,3,0.156134363280056,0.33385909797654806,0.3585292272851232
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NAM,2,1p5,NA,0.04179403923712987,0.21756578783334934,0.5476960689303013
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,NAM,NA,NA,3,0.14742903030135143,0.29846784886179034,0.31892487471718356
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NAM,2,1p5,NA,0.04136871794944307,0.21957000383027286,0.5511624621171003
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,NAM,NA,NA,3,0.14791294190880064,0.3068735394644063,0.3263557191516324
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NAM,2,1p5,NA,0.04179514094725285,0.3214634262133764,0.9420668776406798
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,NAM,NA,NA,3,0.12072710285952024,0.209108295146697,0.21920672287824344
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NAM,2,1p5,NA,0.06928279043560788,0.3982180366930442,0.9226982806772442
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,NAM,NA,NA,3,0.10091554996165061,0.21460398045536216,0.22958289203761764
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NAM,2,1p5,NA,0.06745179763777515,0.5459285086595824,1.7025356024815066
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,NAM,NA,NA,3,0.08370746524200375,0.156670732351905,0.16254726424455582
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NAM,2,1p5,NA,0.0523201234881009,0.2838822060772665,0.7052542787218438
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,NAM,NA,NA,3,0.1461815273029766,0.2903463358147708,0.3101651328340548
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NAM,2,1p5,NA,0.051437953190689986,0.28705784659158323,0.7140892277962071
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,NAM,NA,NA,3,0.14649992226612266,0.2977295099512863,0.316156970242016
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NAM,2,1p5,NA,0.028870666174913528,0.14134782028799364,0.33880992849748703
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,NAM,NA,NA,3,0.2206400664582549,0.4384986215245959,0.4696389903070548
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,NAM,2,1p5,NA,0.029468622410603412,0.19870059908196816,0.6023647819657354
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,NAM,NA,NA,3,0.17872355794627756,0.3013543104824028,0.31927548226716684
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,NAM,2,1p5,NA,0.03182916136335247,0.16179223361570813,0.43291147221979903
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,NAM,NA,NA,3,0.14424803790805427,0.29435483537580687,0.3796640582813656
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,NAM,2,1p5,NA,0.03201332568923096,0.1581278666363762,0.4219484496396611
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,NAM,NA,NA,3,0.14576594561372888,0.3025545348401838,0.3608760441923322
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,NAM,2,1p5,NA,0.03302679260762764,0.23661018259493838,0.7354041190787837
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,NAM,NA,NA,3,0.1273812157925291,0.21571560575969687,0.26901565505250824
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,NAM,2,1p5,NA,0.03885301529877803,0.20193651154872505,0.5446354725707705
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,NAM,NA,NA,3,0.13935194890188626,0.27262846048070893,0.3500603115815908
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,NAM,2,1p5,NA,0.03829911187197631,0.19676862251057137,0.5249582711833379
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,NAM,NA,NA,3,0.1345374982001583,0.27924496285674066,0.3293983415672035
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,NAM,2,1p5,NA,0.04086917029909722,0.2967822058553794,0.9417720443055311
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,NAM,NA,NA,3,0.11707177064200827,0.1947119687805325,0.2423748707848114
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,NAM,2,1p5,NA,0.06326308502976168,0.36910471013055796,0.9218284451405784
