run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NCL,1,0p7,NA,0.03614029331772487,0.12572663641842666,0.2052960502837289
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NCL,1,1p5,NA,0.015402154444159127,0.07315276146198028,0.16906471573937135
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NCL,2,0p7,NA,0.01795107849022886,0.06105197742187548,0.09752063198418526
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NCL,2,1p5,NA,0.008581749227975853,0.03770809569734372,0.07912463503248104
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NCL,NA,NA,3,0.01905169668781491,0.05086716592855156,0.06571345078554572
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NCL,NA,NA,5,0.006834416262199603,0.01973360593150004,0.027413328807685322
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NCL,1,0p7,NA,0.036151414543268943,0.12602543591476068,0.2063503207912526
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NCL,1,1p5,NA,0.01546526012347916,0.07490744825677721,0.1800748026059662
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NCL,2,0p7,NA,0.01795595096928824,0.061099607127243244,0.09775117262837091
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NCL,2,1p5,NA,0.008501670084362678,0.03817964097486549,0.08195821796249031
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NCL,NA,NA,3,0.019001256933067114,0.0505888141765334,0.06541382128279453
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NCL,NA,NA,5,0.006849529190237499,0.019853113037727493,0.02777861879790681
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NCL,1,0p7,NA,0.04275641497213713,0.14976065074454067,0.2393823765487548
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NCL,1,1p5,NA,0.02144180349509608,0.10657344242622274,0.24663564224101792
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NCL,2,0p7,NA,0.020322008940181626,0.06938402258434492,0.10946705735049826
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NCL,2,1p5,NA,0.011311327410479964,0.05131357777719559,0.10867284503869179
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NCL,NA,NA,3,0.01800568819669543,0.04754169070111939,0.060821995479417836
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NCL,NA,NA,5,0.006252018120335906,0.017942488185090175,0.02476076364092099
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NCL,1,0p7,NA,0.04274615313527548,0.15024242661612536,0.2361485296096544
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NCL,1,1p5,NA,0.02155376661347557,0.10980034168399251,0.25391934272715655
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NCL,2,0p7,NA,0.02032316318174258,0.06945964758471014,0.10867132992333198
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NCL,2,1p5,NA,0.011345219772252614,0.052244775338537684,0.11062244633087093
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NCL,NA,NA,3,0.017955373924761535,0.04724325955920556,0.06040138926249265
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NCL,NA,NA,5,0.006263088618429813,0.018003893717040823,0.02507574870172106
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NCL,1,0p7,NA,0.04260563137371576,0.14572325296129068,0.20527785040341215
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NCL,1,1p5,NA,0.022698041674766883,0.1484284647314789,0.348269682436454
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NCL,2,0p7,NA,0.01998124744596052,0.06682597352764257,0.09628342932900262
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NCL,2,1p5,NA,0.011732842665882067,0.06465975199773277,0.1436153006561607
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NCL,NA,NA,3,0.01681910716713155,0.038617379621109386,0.04540387460521607
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NCL,NA,NA,5,0.006001913361215578,0.01585714591526267,0.020928260718315366
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NCL,1,0p7,NA,0.046789025339516385,0.1595231169369655,0.23757498584148137
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NCL,1,1p5,NA,0.034717294475683336,0.17493941554129083,0.3601081208946578
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NCL,2,0p7,NA,0.020969096321190494,0.0704097926285646,0.1065773533272022
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NCL,2,1p5,NA,0.016137067368021774,0.07487051839999165,0.14956633490265347
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NCL,NA,NA,3,0.013450728193850703,0.035845557499923394,0.04626848069065292
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NCL,NA,NA,5,0.004861747059611142,0.014071565466171759,0.019665813482001523
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NCL,1,0p7,NA,0.046502924420309066,0.14486619123245473,0.20259317634838303
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NCL,1,1p5,NA,0.03840386591772557,0.2174839847633195,0.5215112348899876
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NCL,2,0p7,NA,0.020853612632471614,0.06518665063557041,0.09329586583673632
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NCL,2,1p5,NA,0.01705429860667891,0.08957646326115137,0.20397710817293951
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NCL,NA,NA,3,0.012488885215421547,0.029494274114445263,0.035185413949240726
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NCL,NA,NA,5,0.004675143445252629,0.01259123443928468,0.016805950448256977
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NCL,1,0p7,NA,0.034228373195575604,0.11892146947647797,0.19376116811105493
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NCL,1,1p5,NA,0.01410731455313561,0.06601994025324177,0.1498268541838338
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NCL,2,0p7,NA,0.01705387088057683,0.057959815179533886,0.09251118196826637
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NCL,2,1p5,NA,0.007995226756221966,0.034776711778809095,0.07208955322265118
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NCL,NA,NA,3,0.01863216508882841,0.049432515633470155,0.06353363397743797
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NCL,NA,NA,5,0.0065439187808499395,0.01882157795067754,0.0260110503340243
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NCL,1,0p7,NA,0.03422376261497671,0.11908156965877376,0.19469847561591253
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NCL,1,1p5,NA,0.014159758899191304,0.06745581097556477,0.1587239587119062
