run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NPL,1,0p7,NA,0.5987189090656294,1.9376776604673212,2.972070460021175
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NPL,1,1p5,NA,0.07358033653148924,0.3365594685370506,0.7422905993953914
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NPL,2,0p7,NA,0.3181767319419871,1.02154824363919,1.5374524905436016
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NPL,2,1p5,NA,0.04890747814256277,0.21251131463964984,0.4389159794783534
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NPL,NA,NA,3,1.3911562462659344,2.660100595516165,2.856349238422304
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NPL,NA,NA,5,0.3867375643487216,0.8680053889181245,0.9715616993874759
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NPL,1,0p7,NA,0.5978767698348895,1.943561260586521,2.9846897892625406
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NPL,1,1p5,NA,0.07361433116688576,0.33586637248276985,0.752172658355871
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NPL,2,0p7,NA,0.3178176539051664,1.0235754188159656,1.5431432926960555
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NPL,2,1p5,NA,0.04904412239899035,0.21174648912982164,0.4380496872386493
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NPL,NA,NA,3,1.3873438608546016,2.6689801108933495,2.855917688517899
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NPL,NA,NA,5,0.3871786800770694,0.8788147480708876,1.007743221720128
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NPL,1,0p7,NA,0.6825687835878563,2.224748651532743,3.457185579739817
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NPL,1,1p5,NA,0.11821036808213972,0.5675327281179743,1.33606725403727
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NPL,2,0p7,NA,0.3471865055197074,1.1142608714835502,1.685032042353178
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NPL,2,1p5,NA,0.07524478318860381,0.3376392919339279,0.7314135087108175
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NPL,NA,NA,3,1.002957193142563,1.853395693009592,1.9960890295740785
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NPL,NA,NA,5,0.2670984176501782,0.5893885816404493,0.653939595826916
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NPL,1,0p7,NA,0.682482823692191,2.230820226616629,3.4750923615471945
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NPL,1,1p5,NA,0.11847158493492924,0.5685415897504758,1.36887549117395
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NPL,2,0p7,NA,0.3468849412103052,1.1170278199749388,1.691481603028639
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NPL,2,1p5,NA,0.07525784246919122,0.33750271087906913,0.7355077995794305
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NPL,NA,NA,3,1.000099506752883,1.8513098793610139,1.9832883105595343
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NPL,NA,NA,5,0.26750338617169994,0.5955085393440057,0.67509809319592
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NPL,1,0p7,NA,0.6520661319691359,2.174192285739349,3.3354876814685466
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NPL,1,1p5,NA,0.12268107336954798,0.756402391899046,2.941390612541397
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NPL,2,0p7,NA,0.32549222758283125,1.0586110420876407,1.5605575708665649
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NPL,2,1p5,NA,0.076861076347475,0.41528330968028854,1.259137819062593
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NPL,NA,NA,3,0.8154746391378133,1.2005135132015325,1.3237605602073899
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NPL,NA,NA,5,0.2390192423601516,0.45429441252926933,0.4756590006701916
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NPL,1,0p7,NA,0.9010384020416661,3.0659063059939924,4.659867613591452
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NPL,1,1p5,NA,0.3283688613284992,2.0070489563084584,5.626510114991961
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NPL,2,0p7,NA,0.4181732201992688,1.3632900543422988,2.0307562263238417
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NPL,2,1p5,NA,0.17662801401391778,0.9404178636683356,2.3335970059276305
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NPL,NA,NA,3,0.46929429807405404,0.9186638442157085,0.9835996526201353
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NPL,NA,NA,5,0.13883080842412587,0.32345180667544626,0.38216434802060195
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NPL,1,0p7,NA,0.8584798858841504,2.93698924438143,3.6360574667412093
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NPL,1,1p5,NA,0.35460272521998115,3.244616895458386,9.836340727125453
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NPL,2,0p7,NA,0.4006136544045817,1.2783001523610389,1.6623035853561439
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NPL,2,1p5,NA,0.1888219326549736,1.3487930593642325,3.7543766716041804
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NPL,NA,NA,3,0.4009474049143415,0.6331124701393271,0.6712692767276904
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NPL,NA,NA,5,0.12704669413957578,0.26292296921423525,0.2959172563256834
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NPL,1,0p7,NA,0.834593458138928,2.7998432790354704,3.8636668928512297
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NPL,1,1p5,NA,0.46718366152629687,3.0584010923886598,7.30141984031811
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NPL,2,0p7,NA,0.3762660211579851,1.216568744608474,1.7137477401938086
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NPL,2,1p5,NA,0.22934886694460974,1.2870087823189622,2.934901597403408
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NPL,NA,NA,3,0.29133994499295235,0.6119748615755191,0.6593659179946547
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NPL,NA,NA,5,0.09548678168956244,0.23472140889114795,0.2899352689825466
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NPL,1,0p7,NA,0.834908278985634,2.7767172467096977,3.8204695740277534
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NPL,1,1p5,NA,0.4698454918563981,3.1062543309707427,7.539896789644046
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NPL,2,0p7,NA,0.3762333264420617,1.2098501296104003,1.7050547617568395
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NPL,2,1p5,NA,0.22869484945536583,1.2955486706389376,2.9919469670631007
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NPL,NA,NA,3,0.29040118950625715,0.6159453660179858,0.6729267387037805
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NPL,NA,NA,5,0.09609760981870472,0.23872551900274894,0.29975469220600004
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NPL,1,0p7,NA,0.6415937967696146,2.062930517270204,3.1424262778927665
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NPL,1,1p5,NA,0.059625553720729994,0.26554354037819206,0.5628060450405732
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NPL,2,0p7,NA,0.344933035505867,1.103584884329433,1.6565388158141814
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NPL,2,1p5,NA,0.04079444917289161,0.17366528003071166,0.34864929117045457
