run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NZL,1,0p7,NA,0.6599095577619841,2.5334007458339407,4.370985517813233
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NZL,1,1p5,NA,0.2725007714860283,1.3621367088790757,3.199290133489438
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NZL,2,0p7,NA,0.31212399763037235,1.198547709455116,2.0248701160949243
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NZL,2,1p5,NA,0.14760328983304055,0.7088324328846028,1.5384879134665261
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NZL,NA,NA,3,0.3276472872264011,0.9949371025109224,1.357853967906561
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,NZL,NA,NA,5,0.1033896171310555,0.34706598224369517,0.5100641705985967
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NZL,1,0p7,NA,0.6885280099584667,2.5491688669029564,4.388074188577101
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NZL,1,1p5,NA,0.2752015248499523,1.4083757986831897,3.410641174314488
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NZL,2,0p7,NA,0.31927048241288064,1.1945650512547723,2.0190337178406077
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NZL,2,1p5,NA,0.15000188857766908,0.7214410986499021,1.5999559950811766
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NZL,NA,NA,3,0.3333720072260465,0.975180143588583,1.3163761474994982
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,NZL,NA,NA,5,0.10336364114261669,0.34447661926009854,0.5047466475654999
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NZL,1,0p7,NA,0.6516123600714556,2.5004542828651095,4.30516539140759
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NZL,1,1p5,NA,0.2791935742774253,1.3984217002305033,3.2928975436492682
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NZL,2,0p7,NA,0.3043239578032268,1.1692848744178064,1.9761742151399242
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NZL,2,1p5,NA,0.15096468281557718,0.7257497459711004,1.577747793254573
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NZL,NA,NA,3,0.30650802158962737,0.9249924351640503,1.2565186050396469
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,NZL,NA,NA,5,0.09490254623876203,0.31758273783668733,0.46557334153994245
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NZL,1,0p7,NA,0.6770996635842226,2.507740029022511,4.323102662283897
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NZL,1,1p5,NA,0.2826213179909464,1.4460575856822564,3.5124711753981956
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NZL,2,0p7,NA,0.31186346326528946,1.1696108280578286,1.970717330833343
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NZL,2,1p5,NA,0.15339792997007365,0.739467362576213,1.6412602962061131
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NZL,NA,NA,3,0.29701854970632696,0.9048570388723705,1.215981639969299
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,NZL,NA,NA,5,0.09493846277328084,0.31487528416431493,0.46021289821836725
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NZL,1,0p7,NA,0.674672004201618,2.5284048879579832,3.9881156117479986
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NZL,1,1p5,NA,0.3097331175754409,1.8434412297781546,4.786311439168987
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NZL,2,0p7,NA,0.3184718477312042,1.1633877464864768,1.8242849377713217
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NZL,2,1p5,NA,0.1661874435827201,0.8735395180609895,2.0555555944697055
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NZL,NA,NA,3,0.29996174391486086,0.7713050655661766,0.9397858125382839
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,NZL,NA,NA,5,0.09499641613328567,0.2855251974442626,0.39372216858527825
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NZL,1,0p7,NA,0.41490579055656585,1.6126895790709461,2.778743875899155
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NZL,1,1p5,NA,0.2291234839101558,1.1667703381739372,2.764330973447252
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NZL,2,0p7,NA,0.20304794736217946,0.7801762099755594,1.3208273929511367
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NZL,2,1p5,NA,0.1239655100112145,0.6008496156590836,1.304709347034446
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NZL,NA,NA,3,0.16794441320071737,0.5342794607846042,0.7489357001433312
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,NZL,NA,NA,5,0.06023881718171964,0.21115559240378876,0.3198107402113261
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NZL,1,0p7,NA,0.4346927524819446,1.628194427293663,2.447019340477752
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NZL,1,1p5,NA,0.25834705935084784,1.5660098081487976,3.5541328349236307
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NZL,2,0p7,NA,0.21222024372291093,0.7779252173661506,1.1988067826551003
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NZL,2,1p5,NA,0.13608538727846065,0.7271933029660541,1.5847239706854028
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NZL,NA,NA,3,0.16933725361669488,0.46275405307377865,0.5975764807885672
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,NZL,NA,NA,5,0.06316800651814504,0.19537694679397152,0.282457214054524
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NZL,1,0p7,NA,0.5554379641792271,2.135745218052232,3.665930351837454
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NZL,1,1p5,NA,0.21864928355181787,1.0808227031980946,2.4807467224072988
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NZL,2,0p7,NA,0.26890896863928904,1.0302177146715867,1.7423504852724079
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NZL,2,1p5,NA,0.1221348731769278,0.5829950346116819,1.244172238491479
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NZL,NA,NA,3,0.2992276807869276,0.9153958376105316,1.253702333912716
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,NZL,NA,NA,5,0.09572682611586082,0.3246668984529884,0.4787180034328182
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NZL,1,0p7,NA,0.5762083998765954,2.1405499075147016,3.675859506768186
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NZL,1,1p5,NA,0.22265242310773023,1.1121483825403589,2.626190288949217
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NZL,2,0p7,NA,0.272780603163512,1.0313632462781532,1.7361956324208554
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NZL,2,1p5,NA,0.12370973758083491,0.5916371852542088,1.287118178816409
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NZL,NA,NA,3,0.3042051877582194,0.8975418957441604,1.2203773088554484
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,NZL,NA,NA,5,0.09561592772527731,0.32224833118334845,0.474317624060299
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NZL,1,0p7,NA,0.967639976212013,3.675586843542532,6.310664149956338
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NZL,1,1p5,NA,0.29423745111276933,1.4460887423639222,3.2820185522971013
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NZL,2,0p7,NA,0.4509653674160314,1.7134632390036222,2.8816762331835357
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NZL,2,1p5,NA,0.16275341665819928,0.7725588458236459,1.6488433023023972
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NZL,NA,NA,3,0.6272569602429592,1.8158920816646038,2.400280645255638
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,NZL,NA,NA,5,0.17189454126442238,0.5516421951437929,0.7841595329605804
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,NZL,1,0p7,NA,0.9988117133046756,3.717231796332016,6.232810571060917
