run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PAK,1,0p7,NA,5.733687530777441,24.737013188320947,38.95857994933878
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PAK,1,1p5,NA,1.0631603471684234,7.1882370338856525,20.63269667818712
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PAK,2,0p7,NA,3.1653593965597104,12.661123502243733,19.298184957647187
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PAK,2,1p5,NA,0.6928522467349014,4.217524445568749,10.4653298417616
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PAK,NA,NA,3,8.3191457627143,18.3016528108344,19.775955602575134
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PAK,NA,NA,5,2.581530836256703,6.857982808491147,7.660439460584267
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PAK,1,0p7,NA,5.975596143949083,24.782874820444345,39.28053605328845
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PAK,1,1p5,NA,1.0752202689293946,7.279771481903573,22.09570148558407
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PAK,2,0p7,NA,3.1596461306639543,12.68885244752383,19.43028938728359
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PAK,2,1p5,NA,0.7027107605656565,4.228506323387059,10.818654139277134
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PAK,NA,NA,3,8.367183214685186,18.526376034235735,19.790516115670933
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PAK,NA,NA,5,2.5898431492656684,6.9640085849099425,7.992139831336222
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PAK,1,0p7,NA,7.507120093287622,31.890248916443493,50.99755263677494
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PAK,1,1p5,NA,1.6192109618702362,11.667543490448116,37.00455585081858
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PAK,2,0p7,NA,3.860081800225162,15.520893291252527,23.711181242035867
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PAK,2,1p5,NA,1.005145929440507,6.459299446406081,17.205920075575797
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PAK,NA,NA,3,8.046550259439758,16.954586652105192,18.332015042733314
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PAK,NA,NA,5,2.3461649922884082,6.077821875155556,6.638304945203069
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PAK,1,0p7,NA,7.5528052602549245,32.02447409784785,51.458445197676106
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PAK,1,1p5,NA,1.6265222849493024,11.910578984736249,40.41231273785629
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PAK,2,0p7,NA,3.871766056184916,15.540609040427958,23.8466490722491
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PAK,2,1p5,NA,1.0181324018196567,6.502244279286453,18.065878813981858
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PAK,NA,NA,3,8.061833492157254,16.942948840126384,18.193335261627865
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PAK,NA,NA,5,2.3754233525503037,6.1551777198239295,6.883214735626124
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PAK,1,0p7,NA,6.835920834964853,31.03635978561838,39.03912355737649
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PAK,1,1p5,NA,1.5511995642111551,20.225429151728928,80.35392415682786
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PAK,2,0p7,NA,3.4861913537320994,14.525692233827229,19.03399300993796
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PAK,2,1p5,NA,0.9281363921785549,9.45484716618777,31.779283489756853
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PAK,NA,NA,3,6.9194128957636,10.570456494676229,11.803149782995614
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PAK,NA,NA,5,2.048625070596888,4.574637710281945,4.767128675080895
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PAK,1,0p7,NA,9.816966489350689,43.564699772957326,58.584889633329695
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PAK,1,1p5,NA,4.292941586796548,42.856467996565264,114.5830219228262
