run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PHL,1,0p7,NA,2.6200246503601328,13.59218630496255,22.623463086841102
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PHL,1,1p5,NA,0.5323557197742754,3.783278616217215,9.148299282510132
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PHL,2,0p7,NA,1.3677445836055189,6.93132422004316,11.258364343423928
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PHL,2,1p5,NA,0.3350451913686155,2.23855785475036,4.988366139470163
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PHL,NA,NA,3,3.2857054450796905,11.134191204285415,12.708939494574885
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PHL,NA,NA,5,0.9930529448790235,3.744329319508567,4.8192217666081225
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PHL,1,0p7,NA,2.6394605253258807,13.634385820696611,22.703013198878104
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PHL,1,1p5,NA,0.5318144204007338,3.775534003855537,9.227610113187012
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PHL,2,0p7,NA,1.387799033952196,6.970171091722217,11.344798465081844
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PHL,2,1p5,NA,0.3345371163738234,2.2257828924296463,4.968549220595992
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PHL,NA,NA,3,3.281800409967699,11.238120355393326,13.052815248303272
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PHL,NA,NA,5,1.010842966460748,3.818760475340215,4.9939488556172495
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PHL,1,0p7,NA,3.1299278922072826,16.39645924905619,27.482030662805094
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PHL,1,1p5,NA,0.7827704823916326,5.80115512172792,14.854270220117321
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PHL,2,0p7,NA,1.5746980608925025,7.994624959568784,13.017924187898483
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PHL,2,1p5,NA,0.47509898511315385,3.2727106045283243,7.5686940817469575
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PHL,NA,NA,3,2.9503026454273877,9.77424348491536,10.934430859209936
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PHL,NA,NA,5,0.849818688636752,3.161929786464218,4.025154543027028
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PHL,1,0p7,NA,3.1486582410483255,16.460267035862824,27.66253905004869
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PHL,1,1p5,NA,0.785813400807186,5.806794291504128,15.09413552157692
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PHL,2,0p7,NA,1.590312107258702,8.031518724499879,13.104948488854745
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PHL,2,1p5,NA,0.47443023784566923,3.248912718749971,7.574266411780385
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PHL,NA,NA,3,2.939246313700547,9.849238589646738,11.16568861834927
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PHL,NA,NA,5,0.863962890002671,3.2145338691901855,4.161501543105875
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PHL,1,0p7,NA,2.853348844863705,16.01292266535647,25.394338083546305
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PHL,1,1p5,NA,0.7497244371266834,7.718779555976123,28.5853851623262
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PHL,2,0p7,NA,1.458413472984712,7.654849039427193,11.822929022230301
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PHL,2,1p5,NA,0.46047081002497575,3.98168142595438,12.05582793336185
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PHL,NA,NA,3,2.5134327731933723,6.875115748795237,7.332765656422372
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PHL,NA,NA,5,0.7590602760744745,2.6051542558825536,3.084789045540992
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PHL,1,0p7,NA,4.076588076037065,21.882550540850414,35.9304469927935
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PHL,1,1p5,NA,1.650744215082391,14.530160358406771,40.90825238119062
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PHL,2,0p7,NA,1.8988025049186732,9.782353126379821,15.701202776368268
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PHL,2,1p5,NA,0.889004442855934,6.8467039352991765,17.236659897158848
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PHL,NA,NA,3,1.990018933514495,6.703710257279935,7.6328470638974135
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PHL,NA,NA,5,0.6039886234398949,2.2927836154841756,2.9830495845538154
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PHL,1,0p7,NA,3.6763195569825258,21.16628503472959,29.010799336213974
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PHL,1,1p5,NA,1.591615667219398,21.805446976814032,65.66857121523063
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PHL,2,0p7,NA,1.7457669869577002,9.280026235946297,13.14501238071853
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PHL,2,1p5,NA,0.8484020149365759,9.173134681982,25.65961233653854
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PHL,NA,NA,3,1.7264549365926716,4.915669232057038,5.185636799332502
