run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PRT,1,0p7,NA,1.3546568550663454,4.029751142240909,6.4554936005701915
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PRT,1,1p5,NA,0.6378661382010197,2.5755350426578687,6.05545602260557
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PRT,2,0p7,NA,0.6697929366662752,1.9644475901124734,3.0799743029835644
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PRT,2,1p5,NA,0.36011705149559037,1.3381577897851937,2.830072584833707
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PRT,NA,NA,3,0.6544073187330404,1.4918536278044086,1.8721023192126363
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,PRT,NA,NA,5,0.23551817532210856,0.5901848711130679,0.8059586366791697
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PRT,1,0p7,NA,1.3567464341588928,4.040727110768601,6.418817934360215
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PRT,1,1p5,NA,0.6415837408987324,2.6290430014941117,6.218424291028237
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PRT,2,0p7,NA,0.6705524470630562,1.9678488636031495,3.0744612831818428
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PRT,2,1p5,NA,0.3610529870487676,1.3465289453343166,2.8714807947649685
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PRT,NA,NA,3,0.6522758126814979,1.4916333955631746,1.8844118532940708
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,PRT,NA,NA,5,0.23861530232050868,0.5952030258777073,0.8244924613058761
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PRT,1,0p7,NA,1.3360593414479232,3.9781373284669757,6.392805427204293
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PRT,1,1p5,NA,0.6303681950032283,2.5397773117294022,5.978262381449298
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PRT,2,0p7,NA,0.6563953121811116,1.922548128176948,3.01841506398943
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PRT,2,1p5,NA,0.3565712972414713,1.3247796628038995,2.797615620912799
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PRT,NA,NA,3,0.6353662934485477,1.434208848766401,1.788777439666766
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,PRT,NA,NA,5,0.22557066717906796,0.5576947922740242,0.7579862362641018
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PRT,1,0p7,NA,1.33779935683923,3.9890615057432726,6.357598744585695
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PRT,1,1p5,NA,0.6345349018095092,2.5998481061172742,6.1800905504191554
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PRT,2,0p7,NA,0.6561744355734818,1.927170182663325,3.014957667534645
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PRT,2,1p5,NA,0.3574692130328689,1.3321620141543715,2.839948007634403
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PRT,NA,NA,3,0.633875509314409,1.434592545004,1.7981383810963094
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,PRT,NA,NA,5,0.2260859321558225,0.5610117081948885,0.774716787164081
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PRT,1,0p7,NA,1.3532714985392211,3.9988580872471515,5.489360106226207
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PRT,1,1p5,NA,0.6880879976010079,3.715626835582651,8.463400224626037
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PRT,2,0p7,NA,0.6609601336623375,1.8840167698080974,2.6721117467494504
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PRT,2,1p5,NA,0.38177211326674404,1.7103771346342527,3.6778854668417327
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PRT,NA,NA,3,0.5919597204779375,1.1610977503273476,1.334038013599791
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,PRT,NA,NA,5,0.21724784714576661,0.4947562178504276,0.6412556971981435
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PRT,1,0p7,NA,0.8450866869249324,2.5262202626519774,3.820036763796903
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PRT,1,1p5,NA,0.5357779338529889,2.211098876739844,4.616752000719576
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PRT,2,0p7,NA,0.43252402446719856,1.2734245436261926,1.9444486097548124
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PRT,2,1p5,NA,0.30145675852383386,1.124336356918581,2.22213286250254
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PRT,NA,NA,3,0.34282487560010627,0.8196476844706708,1.0730814042738162
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,PRT,NA,NA,5,0.14528570399107188,0.371918002128998,0.5265024666226802
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PRT,1,0p7,NA,0.8502272928410112,2.3849611280918404,3.331280815598012
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PRT,1,1p5,NA,0.5915035599468448,2.8258107931739187,6.371226173784103
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PRT,2,0p7,NA,0.43588875070696964,1.2117103198523123,1.7452774522057644
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PRT,2,1p5,NA,0.3197167897145086,1.3445477929484817,2.860691451410682
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PRT,NA,NA,3,0.32790756240777647,0.6999043622642732,0.8651707947884901
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,PRT,NA,NA,5,0.14126617682573922,0.34242050002382574,0.46523358447255975
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,PRT,1,0p7,NA,1.1523451219108212,3.421128651301724,5.489008933340937
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,PRT,1,1p5,NA,0.5465361804639872,2.171036996674201,5.0336038331692805
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,PRT,2,0p7,NA,0.5786119556572654,1.696999664933624,2.6703376324647503
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,PRT,2,1p5,NA,0.31427562979833046,1.1555939798026158,2.4149135294391604
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,PRT,NA,NA,3,0.5733081527429216,1.3171360336736515,1.6661659045041861
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,PRT,NA,NA,5,0.21438650073751972,0.5356855012844496,0.7364231825037947
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,PRT,1,0p7,NA,1.1542169363376311,3.428492473254989,5.467464815016054
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,PRT,1,1p5,NA,0.5478105540870206,2.21021847329992,5.204036958279249
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,PRT,2,0p7,NA,0.5815203503453521,1.6975452310787265,2.6711326158515916
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,PRT,2,1p5,NA,0.31470869899120585,1.1606609305670352,2.4477888858429386
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,PRT,NA,NA,3,0.568843858955283,1.3172720657269303,1.6797937845348476
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,PRT,NA,NA,5,0.21329053046825464,0.5389881674484267,0.7529615716555074
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,PRT,1,0p7,NA,1.9350891597440847,5.728925960708966,9.139800264703172
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,PRT,1,1p5,NA,0.6765132370224455,2.6613467103399686,5.956152224763034
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,PRT,2,0p7,NA,0.9444658430191337,2.737979171422013,4.2731582931499785
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,PRT,2,1p5,NA,0.38705049307702866,1.4275217000479123,2.9461099119454164
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,PRT,NA,NA,3,1.1846665143531503,2.576142225348239,3.1000644994534006
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,PRT,NA,NA,5,0.36691482066434783,0.884189720047952,1.1643695138663113
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,PRT,1,0p7,NA,1.9572412458269044,5.723680327460783,8.423737043648796
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,PRT,1,1p5,NA,0.7364450727617856,3.6811168048478926,9.85746376227749
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,PRT,2,0p7,NA,0.9387875146216331,2.672654435231817,3.914652098575192
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,PRT,2,1p5,NA,0.41534853017866014,1.7954994662751866,4.236419971310818
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,PRT,NA,NA,3,1.0880798171564257,2.0063464354248732,2.1566743818789513
bhm_lr,bootstrap,expected,SSP5,rcp85,1000,PRT,NA,NA,5,0.3524193158306461,0.7616821538216414,0.9448522969053545
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,1,0p7,NA,1.2752534030257743,3.769057636971113,6.233675156395734
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,1,1p5,NA,0.5936458876302644,2.365404124190778,5.724920831748227
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,2,0p7,NA,0.6401496839094412,1.8339574023566436,2.982511413523104
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,2,1p5,NA,0.3388835447962603,1.2509004471072032,2.724489828093238
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,NA,NA,3,0.6149779119337424,1.345144018965038,1.893140478480043
bhm_lr,bootstrap,uncertain,SSP1,rcp45,299700,PRT,NA,NA,5,0.22511376365310976,0.547778939051332,0.8010007110455886
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,1,0p7,NA,1.238029214366243,3.6733168929583884,6.077345330402718
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,1,1p5,NA,0.5718989811321363,2.2733143257573114,5.863048137342896
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,2,0p7,NA,0.6060811557933872,1.7815144781047225,2.927330480026033
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,2,1p5,NA,0.3266293531331445,1.1923495174885446,2.722828292244848
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,NA,NA,3,0.5911276315394971,1.3402326964454334,1.8312955744006696
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRT,NA,NA,5,0.2151202573278115,0.5422280770041813,0.7898437712581344
bhm_lr,bootstrap,uncertain,SSP1,rcp85,329670,PRT,1,0p7,NA,1.318530512714543,3.859083801764617,5.732134008330794
