run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,PRY,2,1p5,NA,0.05085477412457589,0.23493116664071137,0.5084400657580767
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,PRY,NA,NA,3,0.49763666989411237,1.1995081184855063,1.32419889368319
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,PRY,2,1p5,NA,0.050919736252387784,0.2355196321058836,0.5165815162733501
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,PRY,NA,NA,3,0.5001408421692382,1.1991201630772454,1.3386060519051783
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,PRY,2,1p5,NA,0.06996061448106777,0.33275630342915763,0.7430207413662743
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,PRY,NA,NA,3,0.4752066895084258,1.116777729561392,1.2085720792686716
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,PRY,2,1p5,NA,0.0700588886658418,0.33355757193428176,0.7604776157820523
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,PRY,NA,NA,3,0.47634819692243285,1.1152407561273605,1.2118963105809877
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,PRY,2,1p5,NA,0.06540274344635137,0.46042840604180646,1.3679361988267429
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,PRY,NA,NA,3,0.39581154268194213,0.7069079650427753,0.7496853373124839
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,PRY,2,1p5,NA,0.1322339377521283,0.709837919817918,1.7145336362460823
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,PRY,NA,NA,3,0.3140570412775081,0.7547834293100323,0.8308329580983257
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,PRY,2,1p5,NA,0.12659815940678734,1.0646591913958374,3.0228365518284512
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,PRY,NA,NA,3,0.26508017355791474,0.5031958971829232,0.5266706480852748
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,PRY,2,1p5,NA,0.09775335116657588,0.483899861255118,1.1529922061180033
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,PRY,NA,NA,3,0.5140330531829225,1.1824143189348164,1.2760781350940176
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,PRY,2,1p5,NA,0.09789947247817936,0.4900184577608078,1.197880619820687
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,PRY,NA,NA,3,0.5144650574038274,1.1818961680857467,1.2713155248030832
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,PRY,2,1p5,NA,0.04254982070937863,0.1918043821051295,0.4001070144545653
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,PRY,NA,NA,3,0.7079531060609567,1.6743766661816757,1.8175700790966183
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,PRY,2,1p5,NA,0.03986040147285304,0.24232155129448482,0.7317284308640454
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,PRY,NA,NA,3,0.590483424785279,1.063313578244521,1.1289419571190942
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,PRY,2,1p5,NA,0.042847472817706976,0.19399807364308225,0.5062667663496334
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,PRY,NA,NA,3,0.4277364701634096,1.0061243895877938,1.3560695776005633
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRY,2,1p5,NA,0.04123180006932568,0.1886262680261553,0.4988918492174379
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,PRY,NA,NA,3,0.41848139870343326,1.0090321815856509,1.2822820993192945
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,PRY,2,1p5,NA,0.04255853347608637,0.25221665996313797,0.9710846889646656
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,PRY,NA,NA,3,0.3870668118899983,0.710704982529305,0.8978628436817908
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,PRY,2,1p5,NA,0.05540009421772199,0.2675883661474442,0.7402278360285837
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,PRY,NA,NA,3,0.40260806413929207,0.9360356217107998,1.2536291680251517
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,PRY,2,1p5,NA,0.056174839352897285,0.26090386821770023,0.7326012906588756
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,PRY,NA,NA,3,0.402658963055495,0.9394256262710572,1.1699803713758543
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,PRY,2,1p5,NA,0.057470652464613026,0.36516141879186387,1.4378263939441118
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,PRY,NA,NA,3,0.36656217606601116,0.6391766086304902,0.8083529051921515
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,PRY,2,1p5,NA,0.10540725090302977,0.5550778253978652,1.6999790782816817
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,PRY,NA,NA,3,0.27647510013673915,0.6341049361130698,0.8516074253487337
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,PRY,2,1p5,NA,0.10188963838988362,0.5460144249488559,1.6863156529615067
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,PRY,NA,NA,3,0.2684945174944225,0.6361724022522656,0.8024147149167045
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,PRY,2,1p5,NA,0.1112129604863781,0.8545066288179516,3.1785735060397142
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,PRY,NA,NA,3,0.24565204598417154,0.4509268070119338,0.5632844939726944
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,PRY,2,1p5,NA,0.07824263222218965,0.3859911284670045,1.1564614893209406
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,PRY,NA,NA,3,0.4417582845088349,0.995347731893042,1.3354370681593355
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,PRY,2,1p5,NA,0.07626962350776798,0.37902633406194,1.1592020433014696
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,PRY,NA,NA,3,0.43292958997251824,0.994422621269482,1.23132521838439
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,PRY,2,1p5,NA,0.08042421953220853,0.5624648364204611,2.262504421645256
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,PRY,NA,NA,3,0.3909083113386376,0.6648177294171439,0.8447113081090943
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,PRY,2,1p5,NA,0.0340174441463737,0.15706787148925674,0.3963169387415442
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,PRY,NA,NA,3,0.6187677141404824,1.4075975033931287,1.886249469412977
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,PRY,2,1p5,NA,0.03426846114401672,0.15347007356394615,0.3888477758643209
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,PRY,NA,NA,3,0.6027139168986361,1.4043494611363132,1.75949158570909
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,PRY,2,1p5,NA,0.03512710434646826,0.20232922941697937,0.7625489546876654
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,PRY,NA,NA,3,0.5292427402171395,0.9597684483889648,1.217780669619644
bhm_lr,estimates,expected,SSP1,rcp45,1,PRY,2,1p5,NA,NA,0.2248144862011552,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,PRY,NA,NA,3,NA,1.1819846781184318,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,PRY,2,1p5,NA,NA,0.22494571670286012,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,PRY,NA,NA,3,NA,1.1791694035275417,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,PRY,2,1p5,NA,NA,0.3170169665610007,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,PRY,NA,NA,3,NA,1.1060717400581,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,PRY,2,1p5,NA,NA,0.31800015561393086,NA
bhm_lr,estimates,expected,SSP2,rcp60,1,PRY,NA,NA,3,NA,1.0992364931818497,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,PRY,2,1p5,NA,NA,0.4241157435760885,NA
bhm_lr,estimates,expected,SSP2,rcp85,1,PRY,NA,NA,3,NA,0.7505168860227717,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,PRY,2,1p5,NA,NA,0.6727564813894934,NA
bhm_lr,estimates,expected,SSP3,rcp45,1,PRY,NA,NA,3,NA,0.7414558994608402,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,PRY,2,1p5,NA,NA,0.9864500794756816,NA
bhm_lr,estimates,expected,SSP3,rcp85,1,PRY,NA,NA,3,NA,0.5180637748884824,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,PRY,2,1p5,NA,NA,0.4620638074747874,NA
bhm_lr,estimates,expected,SSP4,rcp45,1,PRY,NA,NA,3,NA,1.1820355482455174,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,PRY,2,1p5,NA,NA,0.4661572551100737,NA
bhm_lr,estimates,expected,SSP4,rcp60,1,PRY,NA,NA,3,NA,1.1720172226985466,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,PRY,2,1p5,NA,NA,0.18369452540429757,NA
bhm_lr,estimates,expected,SSP5,rcp45,1,PRY,NA,NA,3,NA,1.6577566995849102,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,PRY,2,1p5,NA,NA,0.22597045260114546,NA
bhm_lr,estimates,expected,SSP5,rcp85,1,PRY,NA,NA,3,NA,1.1294824875666838,NA
bhm_lr,estimates,uncertain,SSP1,rcp45,315,PRY,2,1p5,NA,0.13266841712455688,0.2037369130161432,0.3319895726616902
bhm_lr,estimates,uncertain,SSP1,rcp45,315,PRY,NA,NA,3,0.8722852301096975,1.0702816711055172,1.2848740531470293
bhm_lr,estimates,uncertain,SSP1,rcp60,210,PRY,2,1p5,NA,0.12927470811147676,0.2101914269589414,0.31679852518340934
bhm_lr,estimates,uncertain,SSP1,rcp60,210,PRY,NA,NA,3,0.8736657171088679,1.04561830126403,1.2421316496141466
bhm_lr,estimates,uncertain,SSP2,rcp45,315,PRY,2,1p5,NA,0.18408433157377263,0.28594840921812703,0.4757166464153192
bhm_lr,estimates,uncertain,SSP2,rcp45,315,PRY,NA,NA,3,0.817993886097554,1.0035074940774493,1.2097990730195105
bhm_lr,estimates,uncertain,SSP2,rcp60,210,PRY,2,1p5,NA,0.1794043438729975,0.29750924746655705,0.45538116530191974
bhm_lr,estimates,uncertain,SSP2,rcp60,210,PRY,NA,NA,3,0.8172387591399577,0.9738469989087312,1.1445450602082616
bhm_lr,estimates,uncertain,SSP2,rcp85,345,PRY,2,1p5,NA,0.23511546480267817,0.3888257714036714,0.7467656400541302
bhm_lr,estimates,uncertain,SSP2,rcp85,345,PRY,NA,NA,3,0.6112178553299775,0.7085894743669786,0.8415632468390805
bhm_lr,estimates,uncertain,SSP3,rcp45,315,PRY,2,1p5,NA,0.3676098446787922,0.6042266965659182,1.0798865055133937
bhm_lr,estimates,uncertain,SSP3,rcp45,315,PRY,NA,NA,3,0.5502516193325542,0.6739667183366634,0.8054155564575816
bhm_lr,estimates,uncertain,SSP3,rcp85,345,PRY,2,1p5,NA,0.5315174534466685,0.9183095526186366,1.628082534019504
bhm_lr,estimates,uncertain,SSP3,rcp85,345,PRY,NA,NA,3,0.42357054861531057,0.4898810571375645,0.5778820330526292
bhm_lr,estimates,uncertain,SSP4,rcp45,315,PRY,2,1p5,NA,0.26172484599379664,0.41297291062360075,0.7220954435966179
bhm_lr,estimates,uncertain,SSP4,rcp45,315,PRY,NA,NA,3,0.8799477638716144,1.0724902118389283,1.292993461395583
