run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,RUS,1,0p7,NA,-10.751818393517537,42.12069074304931,79.04668422499148
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,RUS,1,1p5,NA,-3.5926396162476557,25.199590934653443,104.2896497936228
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,RUS,2,0p7,NA,-6.069141877114703,21.57798964265287,40.46278530039254
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,RUS,2,1p5,NA,-2.356577899050434,13.27337951500396,47.122004573373516
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,RUS,NA,NA,3,-9.207534358933387,18.937934762738575,24.870105550236367
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,RUS,NA,NA,5,-3.592975959258563,8.22369266885523,12.744204868564408
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,RUS,1,0p7,NA,-11.02076573789342,42.41565147656167,78.59611383697057
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,RUS,1,1p5,NA,-3.795704397633701,25.456922010044362,105.99800921121296
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,RUS,2,0p7,NA,-6.343154212452445,21.582869998854974,40.53486730816641
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,RUS,2,1p5,NA,-2.4803953449208955,13.358295769112486,47.47307158482791
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,RUS,NA,NA,3,-9.537222441980031,18.988898161728322,25.896617469903063
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,RUS,NA,NA,5,-3.664276964482523,8.360105520242337,13.271377719884365
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,RUS,1,0p7,NA,-12.298376416822999,49.748799219615684,91.2435894399606
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,RUS,1,1p5,NA,-4.346356789787191,32.839312676393746,136.1992927716872
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,RUS,2,0p7,NA,-6.676104045901162,23.971675631545235,44.642090383015166
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,RUS,2,1p5,NA,-2.769507325796149,16.585124029212963,59.59695536987418
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,RUS,NA,NA,3,-9.256818644604738,18.595038322886836,23.327921310161738
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,RUS,NA,NA,5,-3.439006467680336,7.7181516060760575,11.672164864378583
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,RUS,1,0p7,NA,-12.698824195735666,49.70912319554404,90.55598556839931
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,RUS,1,1p5,NA,-4.571554493696322,33.59370710915583,138.63226246730272
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,RUS,2,0p7,NA,-6.931334433651404,24.33021901457291,44.67378300357759
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,RUS,2,1p5,NA,-2.9475633556038763,16.682355948072956,60.16511863420571
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,RUS,NA,NA,3,-9.509273749818776,18.70584763871053,24.25452651399019
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,RUS,NA,NA,5,-3.4990702489436893,7.800410775715001,12.121764788220354
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,RUS,1,0p7,NA,-7.96394143643794,49.231640638915344,72.72929224695442
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,RUS,1,1p5,NA,-3.0980510042077527,48.09927191082941,215.2584794807901
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,RUS,2,0p7,NA,-4.57728883271414,23.47766968342088,37.59187315531814
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,RUS,2,1p5,NA,-1.9529840552111615,21.483289217764966,86.45745725729223
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,RUS,NA,NA,3,-6.083897414337004,15.332320041123012,17.64340337099548
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,RUS,NA,NA,5,-2.39324214233799,6.948282445917741,9.901638052406021
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,RUS,1,0p7,NA,-12.897999154230106,53.401639612313694,91.08931193346129
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,RUS,1,1p5,NA,-5.60501075034487,52.51189943060232,193.70393509564437
