run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,RWA,2,1p5,NA,0.025854674741469293,0.10973403694130554,0.22444180953269832
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,RWA,NA,NA,3,0.7586490163279426,1.4837612294003428,1.5959276745529543
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,RWA,2,1p5,NA,0.025809043721047576,0.10886996251564601,0.22101624363364042
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,RWA,NA,NA,3,0.7641379362188082,1.5150636611666337,1.6222489753286193
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,RWA,2,1p5,NA,0.039803866914383736,0.17294361732729532,0.36620358115072765
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,RWA,NA,NA,3,0.6089161785009671,1.152576246818181,1.2407846510408225
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,RWA,2,1p5,NA,0.03924409977943641,0.17150161314016138,0.3625670414521188
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,RWA,NA,NA,3,0.6114323953618297,1.1719269873528306,1.2537979290101755
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,RWA,2,1p5,NA,0.04083514127171495,0.21519962455068525,0.6374038406944035
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,RWA,NA,NA,3,0.5120868450979218,0.7368709448262619,0.8133370161427009
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,RWA,2,1p5,NA,0.08269199140926567,0.4060008756666614,1.006343157889789
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,RWA,NA,NA,3,0.25598279601247864,0.5143705383365558,0.5524987239632613
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,RWA,2,1p5,NA,0.08669197178442829,0.5939977120444913,1.57272377980049
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,RWA,NA,NA,3,0.22724587406123048,0.3524116076483545,0.37419751967144965
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,RWA,2,1p5,NA,0.100249476731391,0.5256586699466497,1.1918937738540856
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,RWA,NA,NA,3,0.17756671693033144,0.3725322080854766,0.4024508499029708
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,RWA,2,1p5,NA,0.10029945462024224,0.5279264357489436,1.2036053322676723
