run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,SOM,2,1p5,NA,1.2390835437436014e-4,0.0010704881408165447,0.0023023695189794235
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,SOM,NA,NA,3,0.03921645527521442,0.13640594093988234,0.15077095353103223
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,SOM,2,1p5,NA,1.243800143785251e-4,0.0010671966449879793,0.0022972738404504157
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,SOM,NA,NA,3,0.03896647285337959,0.13306469649689082,0.14654693136794636
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,SOM,2,1p5,NA,2.182984037537827e-4,0.0019342439290740956,0.004369250126815613
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,SOM,NA,NA,3,0.01935418388866545,0.06385258035981772,0.07098689888129889
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,SOM,2,1p5,NA,2.1466614258933137e-4,0.0019311324787829687,0.0043809560348192335
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,SOM,NA,NA,3,0.019248488171863372,0.06156120727616892,0.06856034726464201
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,SOM,2,1p5,NA,2.0769432518300405e-4,0.002196907499329412,0.006116133641317438
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,SOM,NA,NA,3,0.0169715481649718,0.03725823621948342,0.045067810041296064
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,SOM,2,1p5,NA,5.746976452687599e-4,0.005949465517692469,0.016349093514930982
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,SOM,NA,NA,3,0.0049317083085600386,0.017322234608572,0.01902664478035849
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,SOM,2,1p5,NA,5.596382527917485e-4,0.007852743966694501,0.029038534615309267
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,SOM,NA,NA,3,0.004585319807668891,0.010901779312814518,0.01245490161168187
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,SOM,2,1p5,NA,8.052874144675389e-4,0.010110018919105493,0.026333699481211798
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,SOM,NA,NA,3,0.001478092058444481,0.00611884112136622,0.006642298928839092
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,SOM,2,1p5,NA,8.075343944855722e-4,0.010408537735853431,0.0271573162738362
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,SOM,NA,NA,3,0.0014747437151991598,0.006075413985791426,0.006619594760378641
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,SOM,2,1p5,NA,8.764835072560023e-5,7.343367469913466e-4,0.0015334345639345308
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,SOM,NA,NA,3,0.0486563930615044,0.17123559330796168,0.18912967635757547
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,SOM,2,1p5,NA,8.545770214519652e-5,7.868606231831533e-4,0.0018398790675220494
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,SOM,NA,NA,3,0.04496106535715857,0.10517704189085834,0.12220182664217834
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,SOM,2,1p5,NA,1.3870460815769604e-4,0.0010514178466612702,0.0022673128014683783
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,SOM,NA,NA,3,0.04133958910192394,0.1277993215225577,0.1676002687399399
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,SOM,2,1p5,NA,1.3086005463207323e-4,0.0010128231500621046,0.0021550011412379403
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,SOM,NA,NA,3,0.038708521216641034,0.12450907903405124,0.15236483073294962
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,SOM,2,1p5,NA,1.2941209962004716e-4,0.0011584570950834358,0.0028478405999607906
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,SOM,NA,NA,3,0.033631807943989116,0.08132804105831296,0.10555769256283039
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,SOM,2,1p5,NA,2.3797667166880764e-4,0.0019119344069294991,0.004324412025982485
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,SOM,NA,NA,3,0.019785450208586335,0.060156553771194034,0.07881940971306318
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,SOM,2,1p5,NA,2.1394283235718874e-4,0.001800153602370367,0.004104901772930137
