run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,SRB,2,1p5,NA,0.037119291679633265,0.3454082054508243,0.9122201635794903
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,SRB,NA,NA,3,0.13506023350285482,0.5722854676500532,0.7316067188402657
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,SRB,2,1p5,NA,0.03730431870685363,0.34835835816740995,0.9241505454895809
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,SRB,NA,NA,3,0.13079070120691785,0.5681792103142347,0.7356624186005555
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,SRB,2,1p5,NA,0.04520968482814691,0.42627776458684935,1.138103915454231
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,SRB,NA,NA,3,0.13110870034365957,0.5343190939288219,0.6702166361746114
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,SRB,2,1p5,NA,0.04429136361568148,0.4311603097083565,1.1445413908486541
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,SRB,NA,NA,3,0.12912108084723756,0.5295166952154466,0.6732796521586641
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,SRB,2,1p5,NA,0.06179910282646462,0.5607351179059752,1.572402226555361
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,SRB,NA,NA,3,0.1569851191930675,0.42964123786460146,0.4857471941568176
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,SRB,2,1p5,NA,0.066947683113749,0.6509229520913228,1.6141390992212288
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,SRB,NA,NA,3,0.095028568636675,0.4012697847705956,0.5152422548477559
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,SRB,2,1p5,NA,0.09431923280131925,0.8085850508759368,2.350973456070165
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,SRB,NA,NA,3,0.11453258898265452,0.32598437203103714,0.38241431632149514
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,SRB,2,1p5,NA,0.0385678475330072,0.36135158930336553,0.9390565729547711
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,SRB,NA,NA,3,0.11222090547250607,0.47380708782874903,0.6056169354212135
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,SRB,2,1p5,NA,0.038833123996308616,0.36352894427142945,0.9506676405312832
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,SRB,NA,NA,3,0.1088732404691932,0.47026734268105325,0.6081976904221593
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,SRB,2,1p5,NA,0.03369339602742557,0.30665599027995544,0.7677963694813809
