run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SWZ,1,0p7,NA,0.05159983638151075,0.16617830283933324,0.25926665136950067
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SWZ,1,1p5,NA,0.01051863259895604,0.04599604042881129,0.09904288574186945
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SWZ,2,0p7,NA,0.027014259643301633,0.08523879807638626,0.13019987994323615
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SWZ,2,1p5,NA,0.006774427816696149,0.027503164751453486,0.05518371090665387
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SWZ,NA,NA,3,0.06513420518365139,0.13970622267760693,0.15299888161752162
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SWZ,NA,NA,5,0.019462578469331533,0.04676887118533695,0.05712096572024071
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SWZ,1,0p7,NA,0.051564077789267436,0.16661411462068565,0.2606703198200077
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SWZ,1,1p5,NA,0.010661826712362503,0.04615115002319652,0.10098747106161778
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SWZ,2,0p7,NA,0.02716667346349639,0.0857240765139412,0.13061572903011692
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SWZ,2,1p5,NA,0.006739171705804849,0.02744141299310608,0.05548829620780389
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SWZ,NA,NA,3,0.06490097947692824,0.1397670147941591,0.1539443806248071
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SWZ,NA,NA,5,0.019688294346239966,0.04731102086060939,0.05861128732989607
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SWZ,1,0p7,NA,0.05374462969269096,0.17419464466380286,0.2737355687341232
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SWZ,1,1p5,NA,0.013431992980777751,0.06105481543813488,0.13667717085712944
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SWZ,2,0p7,NA,0.02714541066308606,0.08601544064301313,0.13177033474979424
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SWZ,2,1p5,NA,0.008375285817289507,0.03516438023343601,0.07208637263536304
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SWZ,NA,NA,3,0.051693216629490786,0.10864246932622824,0.11784112435106373
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SWZ,NA,NA,5,0.014886183597033614,0.03553039172506174,0.04315813048030273
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SWZ,1,0p7,NA,0.05370659204226224,0.1745466477224128,0.2751805312200332
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SWZ,1,1p5,NA,0.013595513571039032,0.06149084784258503,0.14036385586788752
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SWZ,2,0p7,NA,0.027332782199904322,0.08636879810058339,0.13220840265276326
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SWZ,2,1p5,NA,0.008338695580068495,0.03492655694306803,0.07286864203956551
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SWZ,NA,NA,3,0.05150679887718179,0.10858061731255134,0.1180884028677476
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SWZ,NA,NA,5,0.01506988407827354,0.03587432313280057,0.044174629120981655
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SWZ,1,0p7,NA,0.05225781821357442,0.17052864384535857,0.25438160827672984
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SWZ,1,1p5,NA,0.013905884176489495,0.0837838660527122,0.2774501308377979
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SWZ,2,0p7,NA,0.026392332743842853,0.08254421657948162,0.11967255644362142
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SWZ,2,1p5,NA,0.008416333578166187,0.043317186451640934,0.11913301050054118
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SWZ,NA,NA,3,0.04549651347614186,0.07430902232148362,0.0784502580658761
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SWZ,NA,NA,5,0.013720637574462905,0.028806933672714995,0.03289857614877275
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SWZ,1,0p7,NA,0.05673679644079989,0.18980557648293186,0.28797584643123353
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SWZ,1,1p5,NA,0.02583183478395852,0.140807796210654,0.3401129564166049
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SWZ,2,0p7,NA,0.02666253253489797,0.0858736983914793,0.12896365933252527
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SWZ,2,1p5,NA,0.013865491726224836,0.06662010554047158,0.1452851657926927
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SWZ,NA,NA,3,0.025444634812776843,0.055674743094828526,0.06230169235994041
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SWZ,NA,NA,5,0.008225742831206985,0.02023526747775752,0.025648020499529276
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SWZ,1,0p7,NA,0.05563876421753683,0.17839990590588606,0.23107924883906833
