run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SYR,1,0p7,NA,1.79912268252001,4.999377720510464,7.785443058780941
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SYR,1,1p5,NA,0.38446596407182565,1.5043478355286544,3.500083423628711
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SYR,2,0p7,NA,0.9441748589750937,2.5622776267578495,3.9050723092239177
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SYR,2,1p5,NA,0.2399175306870307,0.8690315750851225,1.8543772612860407
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SYR,NA,NA,3,2.0171937632199124,3.868376605509951,4.210811567309851
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,SYR,NA,NA,5,0.657139398279543,1.3989477130411059,1.7024584110907848
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SYR,1,0p7,NA,1.7946693207781055,5.008960432990698,7.820008367548336
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SYR,1,1p5,NA,0.3862578150786755,1.537212651129075,3.761355796219883
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SYR,2,0p7,NA,0.9434705736838169,2.5609714331960647,3.9049762275853364
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SYR,2,1p5,NA,0.2405598459751491,0.8862276201738476,1.9291557676049815
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SYR,NA,NA,3,2.000771343662191,3.808415473558727,4.152519039686878
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,SYR,NA,NA,5,0.6576755557019086,1.39194251743068,1.7195352547919491
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SYR,1,0p7,NA,2.210567763924053,6.18766823144231,9.712829911767109
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SYR,1,1p5,NA,0.5481818130016062,2.2173663993264836,5.452266057337833
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SYR,2,0p7,NA,1.1147907682887594,3.0343644328111083,4.633784848355617
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SYR,2,1p5,NA,0.3292548451278185,1.2254493616341877,2.7152373884176346
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SYR,NA,NA,3,1.9776688603575894,3.683464674080301,3.964055603273947
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,SYR,NA,NA,5,0.6109554682767974,1.278096594324371,1.5334984256058333
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SYR,1,0p7,NA,2.2031916980548885,6.210515001201737,9.76925729375537
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SYR,1,1p5,NA,0.5509361233860722,2.2890457119956076,5.956461997186488
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SYR,2,0p7,NA,1.1135197291865022,3.030293494955472,4.635146036337897
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SYR,2,1p5,NA,0.33065838369315487,1.2565313914563196,2.858252206929611
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SYR,NA,NA,3,1.9568242513014684,3.6214176603244423,3.8718407607119945
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,SYR,NA,NA,5,0.6100259174660888,1.274753914501561,1.5467827428413141
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SYR,1,0p7,NA,2.140411586098013,6.158353574623454,8.33555094213509
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SYR,1,1p5,NA,0.5789723800629882,3.668350797933731,11.672563228756648
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SYR,2,0p7,NA,1.0672056253791093,2.919977323059661,3.9745595749148226
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SYR,2,1p5,NA,0.3407429859549748,1.7484857735749555,4.807572065316253
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SYR,NA,NA,3,1.7005834726099383,2.39598820728966,2.550373012472455
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,SYR,NA,NA,5,0.5402429095820654,1.0066174454700778,1.1228377532002278
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SYR,1,0p7,NA,2.989505371407504,8.598183419889295,12.814203985680614
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SYR,1,1p5,NA,1.2316019717296498,6.002222589081898,15.277984941274493
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SYR,2,0p7,NA,1.3906497277213627,3.8320773055123962,5.669232075216463
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SYR,2,1p5,NA,0.6397779330894678,2.719199320929039,6.3198394382222665
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SYR,NA,NA,3,1.4047837152294713,2.6697159881170007,2.89626160716246
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,SYR,NA,NA,5,0.4576520292243415,0.9737525257799187,1.1944561099089301
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SYR,1,0p7,NA,2.931598038458042,7.952557636351837,9.803597822752623
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SYR,1,1p5,NA,1.3754495143064231,10.082976147070513,28.629505534530747
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SYR,2,0p7,NA,1.340407116918477,3.5389171530341463,4.524888555109467
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SYR,2,1p5,NA,0.6861321154638801,4.071345125800926,10.841593619631077
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SYR,NA,NA,3,1.2161590390964383,1.7940549204382015,1.8932658576459156
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,SYR,NA,NA,5,0.4041188182690983,0.7822936435992583,0.9019713462484864
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SYR,1,0p7,NA,2.842813606996199,8.24406137134939,11.690127984503933
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SYR,1,1p5,NA,1.395300461021337,7.166008282105381,16.562084853283796
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SYR,2,0p7,NA,1.3084970803530214,3.623395801403958,5.209649001215867
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SYR,2,1p5,NA,0.7003236996575651,3.0996076019354777,6.7863696783278344
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SYR,NA,NA,3,1.1419133541299287,2.2060323013350867,2.428426758024827
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,SYR,NA,NA,5,0.3868972353272224,0.8352034918488018,1.0380010535312096
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,SYR,1,0p7,NA,2.8311516697418524,8.312967093472965,11.39147304834592
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,SYR,1,1p5,NA,1.430134176447752,7.670175459651154,17.656218579427893
