run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,THA,2,1p5,NA,0.3752927271438094,3.594690293779997,9.494431587282952
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,THA,NA,NA,3,2.316410007735981,10.27433300449491,11.79898681253289
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,THA,2,1p5,NA,0.37242074330252795,3.500355915572624,9.015325798634954
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,THA,NA,NA,3,2.433401615692392,10.803468726064475,13.105441970838937
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,THA,2,1p5,NA,0.45145756284816563,4.4508304484029075,12.281442433139048
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,THA,NA,NA,3,2.218198705056933,9.53538884648492,10.653077041381414
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,THA,2,1p5,NA,0.44747362681008385,4.329263266930821,11.652843297611737
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,THA,NA,NA,3,2.3126884172377635,10.028790731015405,11.83101829690284
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,THA,2,1p5,NA,0.4303855273870174,5.8807664105191355,18.882129441261434
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,THA,NA,NA,3,2.08427705844037,7.291335707657829,7.64477493049147
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,THA,2,1p5,NA,0.6989754942357377,8.239688188359835,21.193835747341108
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,THA,NA,NA,3,1.407717710341738,6.21420900530559,7.217828014702157
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,THA,2,1p5,NA,0.6829545608848373,10.571383530715593,35.05954551627679
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,THA,NA,NA,3,1.33698656507207,4.886224644877968,5.355823794558102
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,THA,2,1p5,NA,0.4087437658575597,3.9649431205767662,10.50733972709605
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,THA,NA,NA,3,1.6557570528144911,7.412816408121026,8.659753414968698
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,THA,2,1p5,NA,0.4053597106753263,3.854137725469158,10.034218168992288
