run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,UGA,2,1p5,NA,0.08239417389794998,0.41366541414714253,0.8744446147164953
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,UGA,NA,NA,3,3.462014763924929,7.595390652038648,8.24001399353099
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,UGA,2,1p5,NA,0.08348906211298376,0.4107993336147668,0.8710901338698945
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,UGA,NA,NA,3,3.484616912052554,7.585639857534803,8.204858712421904
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,UGA,2,1p5,NA,0.13855593606148256,0.7247349519074633,1.592681476086942
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,UGA,NA,NA,3,3.0409008270009035,6.427183507833826,6.994913939068479
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,UGA,2,1p5,NA,0.1402380285276436,0.7209679907984416,1.595774898064695
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,UGA,NA,NA,3,3.0311269711974758,6.394739224184704,6.9378169857850684
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,UGA,2,1p5,NA,0.1353037597026705,0.9069608972919208,2.8292938875061466
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,UGA,NA,NA,3,2.3415445698878736,3.8915916109438013,4.426681533951199
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,UGA,2,1p5,NA,0.30876044929943997,1.847402347687575,4.80760719047908
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,UGA,NA,NA,3,1.3654389478166342,3.0073599650446723,3.2517843155899357
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,UGA,2,1p5,NA,0.3058927667007188,2.767770016742238,8.192950934164193
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,UGA,NA,NA,3,1.1614562439449578,1.919214533064252,2.1047816520175515
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,UGA,2,1p5,NA,0.3525768403943022,2.2913287095818835,5.825445072050224
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,UGA,NA,NA,3,0.9542480419408591,2.1752243164722436,2.343212696630124
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,UGA,2,1p5,NA,0.3662385172520853,2.3184790476119304,5.891787142387954
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,UGA,NA,NA,3,0.951728504327821,2.1920621147077104,2.351631778689781
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,UGA,2,1p5,NA,0.06871098746316844,0.33731502909416483,0.6965760450709482
