run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,UKR,1,0p7,NA,0.6171799772414285,5.616472801479205,10.211640098110223
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,UKR,1,1p5,NA,0.12560893848275365,1.9675365872058872,6.117046046048503
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,UKR,2,0p7,NA,0.30816054957580485,2.9619679656081632,5.268593754483725
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,UKR,2,1p5,NA,0.07827321167150565,1.1672088271652676,3.173727585046632
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,UKR,NA,NA,3,0.6561868563611006,3.99973059518287,4.876660178900992
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,UKR,NA,NA,5,0.19435015305958778,1.585031179067124,2.2273405746093062
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,UKR,1,0p7,NA,0.5978188160167063,5.59309998483201,10.27923402288561
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,UKR,1,1p5,NA,0.12223646602201732,1.972437085124212,6.33520554295766
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,UKR,2,0p7,NA,0.28795978888138146,2.9671242222395424,5.2993133260395995
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,UKR,2,1p5,NA,0.07769624973119015,1.1702405585187168,3.2138181263748873
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,UKR,NA,NA,3,0.6222736121919501,3.9994869151010874,5.012301069803247
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,UKR,NA,NA,5,0.1840276908474791,1.6000583938313753,2.302313591885137
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,UKR,1,0p7,NA,0.7041675118435684,6.328996772921692,11.591782669504447
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,UKR,1,1p5,NA,0.164403688503565,2.578471200919636,8.557179698684918
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,UKR,2,0p7,NA,0.3406799042315733,3.1860563740709913,5.68295245313525
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,UKR,2,1p5,NA,0.096347187142358,1.4728313054220092,4.170022795414883
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,UKR,NA,NA,3,0.6117823128148787,3.5712631560314425,4.221581340343496
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,UKR,NA,NA,5,0.17274037659052505,1.350392106359886,1.8740552910698178
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,UKR,1,0p7,NA,0.692128412731471,6.335334333490091,11.672112355065034
