run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,WLD,2,1p5,NA,199.86162474232455,725.745622107141,1524.7982544723457
bhm_lr,bootstrap,expected,SSP1,rcp45,1e3,WLD,NA,NA,3,400.43024412230557,1021.6928250366926,1229.8155566178705
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,WLD,2,1p5,NA,198.79357957320394,727.5862617801129,1539.035942755829
bhm_lr,bootstrap,expected,SSP1,rcp60,1e3,WLD,NA,NA,3,402.3109634660352,1035.8590771532708,1268.5582998033992
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,WLD,2,1p5,NA,225.5241664235287,847.0579818801024,1780.6046392760725
bhm_lr,bootstrap,expected,SSP2,rcp45,1e3,WLD,NA,NA,3,330.63779231486063,875.4385694162288,1054.5805431483561
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,WLD,2,1p5,NA,225.11226018831383,849.3503606468596,1794.2790386296133
bhm_lr,bootstrap,expected,SSP2,rcp60,1e3,WLD,NA,NA,3,326.5524956950992,889.2995065925392,1084.6373374332748
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,WLD,2,1p5,NA,280.00452590440267,1161.559847496743,2826.3379786426594
bhm_lr,bootstrap,expected,SSP2,rcp85,1e3,WLD,NA,NA,3,232.14652093998984,672.8280035554849,751.0506559650721
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,WLD,2,1p5,NA,301.0069938883243,1119.291638870849,2344.9219707114503
bhm_lr,bootstrap,expected,SSP3,rcp45,1e3,WLD,NA,NA,3,209.7298836418822,572.8567235397145,713.5782179931645
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,WLD,2,1p5,NA,336.506672998511,1524.4610608111977,3962.5186159956447
bhm_lr,bootstrap,expected,SSP3,rcp85,1e3,WLD,NA,NA,3,153.18655058295636,457.0480532124873,540.1689597482415
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,WLD,2,1p5,NA,214.99546219329304,790.4638666681394,1644.352657101128
bhm_lr,bootstrap,expected,SSP4,rcp45,1e3,WLD,NA,NA,3,249.3716369962594,708.1930658179962,881.2764424920867
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,WLD,2,1p5,NA,216.22393682473856,793.031645563376,1650.21806181768
bhm_lr,bootstrap,expected,SSP4,rcp60,1e3,WLD,NA,NA,3,248.53894302348118,719.014870214038,909.8266506875384
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,WLD,2,1p5,NA,191.2596513140719,705.5051677988016,1554.6897334948058
bhm_lr,bootstrap,expected,SSP5,rcp45,1e3,WLD,NA,NA,3,569.740726884051,1502.2665768373452,1760.119470117935
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,WLD,2,1p5,NA,222.44326172831487,961.8132506700983,2393.2480344605897
bhm_lr,bootstrap,expected,SSP5,rcp85,1e3,WLD,NA,NA,3,389.49457338610705,1129.6996881200619,1220.705400412328
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,WLD,2,1p5,NA,184.34105847667308,680.2840633385472,1511.9768642278866
bhm_lr,bootstrap,uncertain,SSP1,rcp45,314685,WLD,NA,NA,3,379.81497507013216,958.8179408318024,1259.6974757469993
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,WLD,2,1p5,NA,181.69225683099955,667.5885257814537,1493.0281272138145
bhm_lr,bootstrap,uncertain,SSP1,rcp60,209790,WLD,NA,NA,3,391.34408586992873,975.134053822188,1261.0732238448275
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,WLD,2,1p5,NA,225.03823514423533,922.5611733478518,2443.160869027952
bhm_lr,bootstrap,uncertain,SSP1,rcp85,344655,WLD,NA,NA,3,289.37761933374264,757.9480418059704,926.0165787138623
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,WLD,2,1p5,NA,219.77179829009862,800.4249640310228,1783.2490136116066
bhm_lr,bootstrap,uncertain,SSP2,rcp45,314685,WLD,NA,NA,3,314.8509431542215,820.1302752836959,1080.4953527872813
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,WLD,2,1p5,NA,211.63761348221075,781.298590975053,1758.1781853854413
bhm_lr,bootstrap,uncertain,SSP2,rcp60,209790,WLD,NA,NA,3,318.1636437460263,834.6529709020409,1077.0528573908232
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,WLD,2,1p5,NA,262.4769335310179,1095.3975168773034,2936.1448519691135
bhm_lr,bootstrap,uncertain,SSP2,rcp85,344655,WLD,NA,NA,3,241.31353751766025,645.9942800670568,786.6176248391802
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,WLD,2,1p5,NA,281.42569729574836,1054.8283174026692,2330.037689803521
bhm_lr,bootstrap,uncertain,SSP3,rcp45,314685,WLD,NA,NA,3,201.320325224954,541.4436988499189,725.3419525146151
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,WLD,2,1p5,NA,277.92798708388443,1027.3044813567615,2291.332370679667
bhm_lr,bootstrap,uncertain,SSP3,rcp60,209790,WLD,NA,NA,3,195.86686176902103,549.5561074028635,733.0713233778546
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,WLD,2,1p5,NA,332.815462278023,1459.0088658962102,4062.421430658878
bhm_lr,bootstrap,uncertain,SSP3,rcp85,344655,WLD,NA,NA,3,159.5666822205821,439.9892540037386,554.7001625567306
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,WLD,2,1p5,NA,205.75214167458495,749.4839518753686,1651.0605954042007
bhm_lr,bootstrap,uncertain,SSP4,rcp45,314685,WLD,NA,NA,3,248.90805137677947,669.1634161802231,897.7896485543282
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,WLD,2,1p5,NA,201.29933973555197,732.5076551891284,1616.7284945164981
bhm_lr,bootstrap,uncertain,SSP4,rcp60,209790,WLD,NA,NA,3,248.82178057680258,677.6237763117543,905.251596859915
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,WLD,2,1p5,NA,246.225626331997,1024.323052331553,2781.468686674959
bhm_lr,bootstrap,uncertain,SSP4,rcp85,344655,WLD,NA,NA,3,193.45569955728539,544.1133542669381,680.8899814828486
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,WLD,2,1p5,NA,179.21463057633702,670.1273383837972,1528.5663143426934
bhm_lr,bootstrap,uncertain,SSP5,rcp45,314685,WLD,NA,NA,3,561.7116148792571,1403.8419017456768,1829.4940355380013
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,WLD,2,1p5,NA,179.32885820837132,654.8212020899856,1520.6079900029279
bhm_lr,bootstrap,uncertain,SSP5,rcp60,209790,WLD,NA,NA,3,547.9697712746802,1429.7980339116148,1808.219527720462
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,WLD,2,1p5,NA,224.34884196441828,920.5913643916701,2461.7925983437613
bhm_lr,bootstrap,uncertain,SSP5,rcp85,344655,WLD,NA,NA,3,394.5499257901157,1069.866013375267,1300.8415772116648
bhm_lr,estimates,expected,SSP1,rcp45,1,WLD,2,1p5,NA,NA,668.4879404460376,NA
bhm_lr,estimates,expected,SSP1,rcp45,1,WLD,NA,NA,3,NA,1079.6700997381763,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,WLD,2,1p5,NA,NA,668.8182020678219,NA
bhm_lr,estimates,expected,SSP1,rcp60,1,WLD,NA,NA,3,NA,1093.9367143761688,NA
bhm_lr,estimates,expected,SSP2,rcp45,1,WLD,2,1p5,NA,NA,774.8390739515364,NA
