run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZAF,1,0p7,NA,5.8749583233090625,16.544432709191376,26.28028865511892
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZAF,1,1p5,NA,2.082996901450966,8.654592870495991,21.95868724171734
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZAF,2,0p7,NA,3.0035442096637235,8.244708645459834,12.720571978762774
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZAF,2,1p5,NA,1.2086297395374843,4.562284283791297,10.165975804107257
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZAF,NA,NA,3,3.7883309577988205,7.785330411153888,9.13600655170837
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZAF,NA,NA,5,1.3674173766563689,3.0842189687372037,4.0058837004645635
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZAF,1,0p7,NA,5.875123085487669,16.614838428595863,26.27656284920876
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZAF,1,1p5,NA,2.091891122382375,8.819144521730953,23.056613787130324
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZAF,2,0p7,NA,3.005198409510418,8.256052842496418,12.70745394601068
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZAF,2,1p5,NA,1.2141714579844989,4.623098589422494,10.454864979744647
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZAF,NA,NA,3,3.7907160978733563,7.741408678536293,9.206784902020246
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZAF,NA,NA,5,1.3647103966799319,3.117578658019775,4.082994052117193
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZAF,1,0p7,NA,6.341938028562756,18.169618511425163,28.861979518900753
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZAF,1,1p5,NA,2.4625229382059834,10.459321213587993,26.889905853089783
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZAF,2,0p7,NA,3.1866704689023035,8.743081907073229,13.490979676290038
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZAF,2,1p5,NA,1.3923138101067207,5.3674411155036665,12.075243355197198
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZAF,NA,NA,3,3.625078738815592,7.30873059457955,8.419359008714835
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZAF,NA,NA,5,1.2426748981077662,2.788349875830163,3.589104783180949
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ZAF,1,0p7,NA,6.4114827907551035,18.246489354100227,28.532721623814346
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ZAF,1,1p5,NA,2.4741878881283834,10.682048077112038,27.713543590117297
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ZAF,2,0p7,NA,3.1880888079944176,8.76754553475649,13.409777241173366
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ZAF,2,1p5,NA,1.400021102937315,5.433315834218101,12.318340773659576
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ZAF,NA,NA,3,3.619733000215858,7.273428340512729,8.452074522140453
bhm_lr,bootstrap,expected,SSP2,rcp60,1000,ZAF,NA,NA,5,1.247154123185526,2.8091936658599863,3.652289789499999
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ZAF,1,0p7,NA,6.146246704263167,18.079891027288276,23.495224927097357
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ZAF,1,1p5,NA,2.652349111679542,16.958440708136276,43.62940057110867
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ZAF,2,0p7,NA,3.0433353957306744,8.49281215380649,11.491019739622827
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ZAF,2,1p5,NA,1.4772907113616554,7.4409826933980545,17.916838806789563
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ZAF,NA,NA,3,3.18177579080573,5.591736967857654,5.9266429417346425
bhm_lr,bootstrap,expected,SSP2,rcp85,1000,ZAF,NA,NA,5,1.1551381205486604,2.3986352958866406,2.9237571355804834
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ZAF,1,0p7,NA,6.7896768269965895,19.20990118832563,27.390914131698093
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ZAF,1,1p5,NA,4.147289980367431,19.59240169365528,42.258051443922476
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ZAF,2,0p7,NA,3.1706138495981726,8.701540363910253,12.592873561996209
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ZAF,2,1p5,NA,2.043895567755819,8.513667090400594,17.722237357053046
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ZAF,NA,NA,3,2.3948619737977133,4.923677240378374,5.817281815892188
bhm_lr,bootstrap,expected,SSP3,rcp45,1000,ZAF,NA,NA,5,0.8776375611178329,2.0099792550532047,2.6422496628573935
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ZAF,1,0p7,NA,6.556765846410442,17.14674456677642,22.131488866383634
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ZAF,1,1p5,NA,4.654059014611576,26.854498652740478,71.18237943084134
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ZAF,2,0p7,NA,3.040093228492869,7.9383788908247,10.668743919144754
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ZAF,2,1p5,NA,2.210991782013984,10.976736380007143,27.510870721444824
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ZAF,NA,NA,3,2.123874345041064,3.861920984107574,4.267712652332201
bhm_lr,bootstrap,expected,SSP3,rcp85,1000,ZAF,NA,NA,5,0.8259956271418295,1.7545753756009548,2.2185641754484755
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ZAF,1,0p7,NA,4.731258692338967,13.319612331184597,21.110159032833327
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ZAF,1,1p5,NA,1.8993358279216723,7.801503586261861,19.472847663436625
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ZAF,2,0p7,NA,2.440973172307449,6.71353254263816,10.330527640438147
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ZAF,2,1p5,NA,1.1180200947451546,4.184365595413979,9.159529433531661
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ZAF,NA,NA,3,2.7820077909388004,5.747556443892504,6.80982918719836
bhm_lr,bootstrap,expected,SSP4,rcp45,1000,ZAF,NA,NA,5,1.0229899220573755,2.3379157203118996,3.0693051997264242
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ZAF,1,0p7,NA,4.7329238476758695,13.363533152807225,20.899287453282557
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ZAF,1,1p5,NA,1.9068287064736955,7.977348109314562,20.00422543855563
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ZAF,2,0p7,NA,2.440573837006888,6.735036927828928,10.28556286666653
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ZAF,2,1p5,NA,1.119703251311835,4.249694574051023,9.287651007213668
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ZAF,NA,NA,3,2.7846449040755576,5.710585966622444,6.863829567166154
bhm_lr,bootstrap,expected,SSP4,rcp60,1000,ZAF,NA,NA,5,1.0268042875711183,2.3671586490045815,3.1301929041112304
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,ZAF,1,0p7,NA,6.584190177950159,18.404684560750137,28.889985460704498
bhm_lr,bootstrap,expected,SSP5,rcp45,1000,ZAF,1,1p5,NA,1.8024424779556845,7.058492717633069,16.467095581728373
