run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZMB,1,0p7,NA,0.6394547949793006,2.1461208120469224,3.3106170346726933
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZMB,1,1p5,NA,0.07297918190066599,0.360235848223895,0.8513354323209403
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZMB,2,0p7,NA,0.32941460871546596,1.0892162138969663,1.6360260249376397
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZMB,2,1p5,NA,0.047023088570435724,0.21545805952794012,0.4719004963712961
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZMB,NA,NA,3,1.4370099123753453,2.656787771531775,2.871613348542403
bhm_lr,bootstrap,expected,SSP1,rcp45,1000,ZMB,NA,NA,5,0.3848608761460521,0.8435732161537867,0.9113095773001675
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZMB,1,0p7,NA,0.6407411383118556,2.161278135071483,3.336673564632057
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZMB,1,1p5,NA,0.07368859754257204,0.3582355843972919,0.8616959274594737
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZMB,2,0p7,NA,0.33037913675196257,1.090048645151269,1.6499842501593287
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZMB,2,1p5,NA,0.04603263118997136,0.21396310747726402,0.47023874565388446
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZMB,NA,NA,3,1.4493888643633643,2.6897303730894135,2.8919900915663255
bhm_lr,bootstrap,expected,SSP1,rcp60,1000,ZMB,NA,NA,5,0.3868031365526752,0.8682127873018479,0.9508153718075302
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZMB,1,0p7,NA,0.7900493279166678,2.6762152653516025,4.17716913536125
bhm_lr,bootstrap,expected,SSP2,rcp45,1000,ZMB,1,1p5,NA,0.1204997358119823,0.6177386803889009,1.5548330690506904
