run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AFG,2,1p5,NA,-0.3142213417323961,-0.1332931793874479,0.12227959294381043
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AFG,NA,NA,3,-22.549682994508913,-5.494572559041758,3.2497271816282
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AGO,2,1p5,NA,1.2212067466942347,2.4437683900835285,4.226362405045636
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AGO,NA,NA,3,3.4448108531865924,3.8387165149683047,4.089674972491889
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ALB,2,1p5,NA,-0.07015503482304508,-0.017707972718257445,0.053800339684503505
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ALB,NA,NA,3,-0.32045789276163333,-0.04732322230846939,0.15144236027016084
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ARE,2,1p5,NA,2.1808381146342524,9.781493660885264,25.877853164628796
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ARE,NA,NA,3,2.4314698711109486,4.723938007395047,5.322279044595965
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ARG,2,1p5,NA,-0.20195494028103278,1.1676843052770072,3.0153477905356287
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ARG,NA,NA,3,-0.7312934807900993,3.3705974887648007,6.249222911743703
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ARM,2,1p5,NA,-0.0892708107294945,-0.05663641630561586,-0.01157540231796168
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,ARM,NA,NA,3,-1.0272338166740045,-0.48752646320878834,-0.10642255623554532
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AUS,2,1p5,NA,-1.1516960904558387,2.47381740572114,7.330851541204191
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AUS,NA,NA,3,-2.3861881843987245,3.719786996419514,7.6441596379651005
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AUT,2,1p5,NA,-1.3338780030973307,-0.8015636821922405,-0.258366980862119
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AUT,NA,NA,3,-4.703267129025866,-1.9967669165703148,-0.45931187262792195
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AZE,2,1p5,NA,-0.4100211052080416,-0.16152967322992706,0.22220731205422573
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,AZE,NA,NA,3,-1.559139731713942,-0.4006382464843485,0.46151134163726726
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BDI,2,1p5,NA,0.013373706259768876,0.0285895050135695,0.04897563246732666
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BDI,NA,NA,3,0.9079868621209648,1.1272744051576287,1.2198753457541482
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BEL,2,1p5,NA,-1.144792749909598,-0.5040179913014347,0.1646022729768162
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BEL,NA,NA,3,-3.3538902530666483,-1.08716513528735,0.3192397589162115
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BEN,2,1p5,NA,0.1190886329262622,0.20502301298221093,0.3295721128502424
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BEN,NA,NA,3,1.5450162587448921,1.7109785223241765,1.7970638171871065
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BFA,2,1p5,NA,0.4194263451663467,0.8484654815979844,1.8743579826666372
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BFA,NA,NA,3,1.9203990289159312,2.408929036983193,2.8332154432071515
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BGD,2,1p5,NA,0.8287125633528251,1.498369070439346,2.469843366937626
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BGD,NA,NA,3,11.837220145737165,16.06216929982266,17.5433121795054
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BGR,2,1p5,NA,-0.23585456391055953,-0.12865825853632107,4.955902444880668e-4
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BGR,NA,NA,3,-1.4634886073715623,-0.58402032574679,0.035397232294060124
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BHS,2,1p5,NA,0.017066996764032626,0.07562793563189045,0.1763988803961819
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BHS,NA,NA,3,0.023737683500632906,0.06100732575599892,0.08086008620504827
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BIH,2,1p5,NA,-0.12731525670212918,-0.07873707126490315,-0.014109680574522237
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BIH,NA,NA,3,-0.8634501978038717,-0.41263006627193727,-0.08072319674145197
bhm_richpoor_sr,bootstrap,expected,SSP1,rcp45,1e3,BLR,2,1p5,NA,-0.4956525251853174,-0.33924845188223474,-0.18069844537530588
