run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AFG,1,0p7,NA,0.2533446899300896,1.1992018839669172,2.0695564180982107
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AFG,1,1p5,NA,-0.006557540729550459,0.09064753193981699,0.22588677904407803
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AFG,2,0p7,NA,0.09590923247673803,0.5917264075127806,1.041720254741779
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AFG,2,1p5,NA,-0.008291519600532857,0.055860840090910115,0.14052953871567261
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AFG,NA,NA,3,1.4276973559445718,3.8671555865446914,4.474745382815948
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AFG,NA,NA,5,0.2241454553600939,0.892045641301452,1.1632933447136309
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AGO,1,0p7,NA,7.385756432814679,9.99252932891271,12.280251842020038
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AGO,1,1p5,NA,2.6468524378025027,5.572237995804321,11.556115854703858
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AGO,2,0p7,NA,3.5275557167577234,4.66144472024204,5.599088148920784
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AGO,2,1p5,NA,1.4419420003143204,2.711857473325303,4.925653598384869
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AGO,NA,NA,3,3.5745633911154937,3.958604857128097,4.1827378015106325
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,AGO,NA,NA,5,1.335098215403641,1.4094415260270479,1.4251435874383147
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,ALB,1,0p7,NA,0.05847951436927081,0.19597116833550693,0.3266963670493817
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,ALB,1,1p5,NA,0.010332181348796026,0.05464380911731139,0.1203320771037677
bhm_sr,bootstrap,expected,SSP5,rcp85,1000,ALB,2,0p7,NA,0.02724995621983698,0.09981487566686623,0.1677338548226572
