run,dmgfuncpar,climate,SSP,RCP,N,ISO3,prtp,eta,dr,16.7%,50%,83.3%
djo,estimates,uncertain,SSP2,rcp85,255,ISL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,255,ISL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,315,CPV,2,1p5,NA,0.045706439309180384,0.0727012599915763,0.12309158742839668
djo,estimates,uncertain,SSP2,rcp85,315,CPV,NA,NA,3,0.01958569175477425,0.025329007090874,0.03127836676401699
djo,estimates,uncertain,SSP2,rcp85,330,AUS,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,AUS,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,AUT,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,AUT,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,BWA,2,1p5,NA,3.978716442160053,10.87928656012699,26.75897901504212
djo,estimates,uncertain,SSP2,rcp85,330,BWA,NA,NA,3,0.3074533281173165,0.3615666105219672,0.4241146802011081
djo,estimates,uncertain,SSP2,rcp85,330,CHL,2,1p5,NA,8.856981573661578,17.02837675943648,32.72985667234174
djo,estimates,uncertain,SSP2,rcp85,330,CHL,NA,NA,3,2.6139853547173746,3.091392726767769,3.7701961364472947
djo,estimates,uncertain,SSP2,rcp85,330,CZE,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,CZE,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,DJI,2,1p5,NA,0.0995770804900362,0.19863383177343263,0.5110700178977254
djo,estimates,uncertain,SSP2,rcp85,330,DJI,NA,NA,3,0.03669161269871159,0.045169884141257714,0.05930052387450937
djo,estimates,uncertain,SSP2,rcp85,330,FJI,2,1p5,NA,0.06180329086123003,0.09462632025890631,0.14601162521109384
djo,estimates,uncertain,SSP2,rcp85,330,FJI,NA,NA,3,0.03294503375021575,0.03970300955837301,0.04757103051235733
djo,estimates,uncertain,SSP2,rcp85,330,IRL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,IRL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,LAO,2,1p5,NA,0.7437225417165213,1.404483186259672,3.1056803821478995
djo,estimates,uncertain,SSP2,rcp85,330,LAO,NA,NA,3,0.28258420634929443,0.3570126734172242,0.44065253605342064
djo,estimates,uncertain,SSP2,rcp85,330,MUS,2,1p5,NA,0.4508658290414835,0.6824828405047397,1.2061305891321528
djo,estimates,uncertain,SSP2,rcp85,330,MUS,NA,NA,3,0.1698746975945959,0.20712842728469394,0.2452415431943611
djo,estimates,uncertain,SSP2,rcp85,330,NCL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,NCL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,NZL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,NZL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,PRT,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,PRT,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,SVK,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,SVK,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,330,URY,2,1p5,NA,0.7301526988229767,1.8903902348870247,3.443911528416955
djo,estimates,uncertain,SSP2,rcp85,330,URY,NA,NA,3,0.3888483309010258,0.47514028569457617,0.5799431235580053
djo,estimates,uncertain,SSP2,rcp85,330,VUT,2,1p5,NA,0.023214750198542383,0.03525896328881338,0.05463929314287025
djo,estimates,uncertain,SSP2,rcp85,330,VUT,NA,NA,3,0.01869694247794813,0.02217292765408227,0.027213219278418316
djo,estimates,uncertain,SSP2,rcp85,345,AFG,2,1p5,NA,6.715202029907389,11.614406935660202,45.3142217876976
djo,estimates,uncertain,SSP2,rcp85,345,AFG,NA,NA,3,0.6143072587759477,0.7333076260030453,0.942828312788721
djo,estimates,uncertain,SSP2,rcp85,345,AGO,2,1p5,NA,14.965469711212256,32.91671640538925,76.11538401678098
djo,estimates,uncertain,SSP2,rcp85,345,AGO,NA,NA,3,1.2074356654085125,1.4343445104735535,1.7392574030656889
djo,estimates,uncertain,SSP2,rcp85,345,ALB,2,1p5,NA,1.0141814529538635,1.9089886371558569,5.7955210141806095
djo,estimates,uncertain,SSP2,rcp85,345,ALB,NA,NA,3,0.19036196661394517,0.22458921844556923,0.27597313435725657
djo,estimates,uncertain,SSP2,rcp85,345,ARE,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,345,ARE,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,345,ARG,2,1p5,NA,17.8243860693016,42.91380751449676,91.15055157067624
djo,estimates,uncertain,SSP2,rcp85,345,ARG,NA,NA,3,5.710844946848467,7.333148467527551,9.026271016302408
djo,estimates,uncertain,SSP2,rcp85,345,ARM,2,1p5,NA,0.7043147176285368,1.4817070317670318,3.8034174582006846
djo,estimates,uncertain,SSP2,rcp85,345,ARM,NA,NA,3,0.13785205549612908,0.16262999048357668,0.208915572093328
djo,estimates,uncertain,SSP2,rcp85,345,AZE,2,1p5,NA,5.078709836527683,11.44592338586841,26.121305406244222
djo,estimates,uncertain,SSP2,rcp85,345,AZE,NA,NA,3,0.5892065619892891,0.707247497378981,0.8640495490112862
djo,estimates,uncertain,SSP2,rcp85,345,BDI,2,1p5,NA,0.2705002123186436,0.526026411215454,0.9258651633652653
djo,estimates,uncertain,SSP2,rcp85,345,BDI,NA,NA,3,0.12511465469963381,0.15132082153499668,0.1932786804563786
djo,estimates,uncertain,SSP2,rcp85,345,BEL,2,1p5,NA,0,0,0
djo,estimates,uncertain,SSP2,rcp85,345,BEL,NA,NA,3,0,0,0
djo,estimates,uncertain,SSP2,rcp85,345,BEN,2,1p5,NA,0.6924109779064365,1.490025290582567,3.136673510434163
djo,estimates,uncertain,SSP2,rcp85,345,BEN,NA,NA,3,0.25943381011506833,0.31508600450024715,0.4033591312973005
djo,estimates,uncertain,SSP2,rcp85,345,BFA,2,1p5,NA,2.126858013917967,4.728820991814273,15.380622056689482
djo,estimates,uncertain,SSP2,rcp85,345,BFA,NA,NA,3,0.4792604109237811,0.5736684007069649,0.8475455623285973
djo,estimates,uncertain,SSP2,rcp85,345,BGD,2,1p5,NA,8.209677809963273,15.351954424757855,32.47318447206947
djo,estimates,uncertain,SSP2,rcp85,345,BGD,NA,NA,3,5.24345606955807,6.164242733762829,7.3378030297253
djo,estimates,uncertain,SSP2,rcp85,345,BGR,2,1p5,NA,3.60410727429329,7.7375392963230345,28.47811423253459
djo,estimates,uncertain,SSP2,rcp85,345,BGR,NA,NA,3,0.7485741420894948,0.8993626109359923,1.1539501903427984
djo,estimates,uncertain,SSP2,rcp85,345,BHS,2,1p5,NA,0,0,0
